bleiben;blieb<br/>ist geblieben<br/><br/><br/>залишатися<br/><br/>;Verb
brauchen;brauchte<br/>hat gebraucht<br/>A<br/><br/>потребувати<br/><br/>;Verb
bringen;brachte<br/>hat gebracht<br/>D + A<br/><br/>приносити<br/><br/>;Verb
denken;dachte<br/>hat gedacht<br/>an +A<br/><br/>думати<br/><br/>;Verb
diskutieren;diskutierte<br/>hat diskutiert<br/>A<br/><br/>дискутувати<br/><br/>;Verb
drehen;drehte<br/>hat gedreht<br/>A<br/><br/>знімати (фільм)<br/><br/>;Verb
drucken;druckte<br/>hat gedruckt<br/>A<br/><br/>друкувати<br/><br/>;Verb
empfehlen;empfahl<br/>hat empfohlen<br/>D + A<br/><br/>рекомендувати<br/><br/>;Verb
entscheiden;entschied<br/>hat entschieden<br/><br/><br/>вирішувати<br/><br/>scheiden розлучати;Verb
entstehen;entstand<br/>ist entstanden<br/><br/><br/>виникати<br/><br/>stehen стояти;Verb
entwickeln;entwickelte<br/>hat entwickelt<br/>A<br/><br/>розвивати<br/><br/>wickeln загортати;Verb
erfahren;erfuhr<br/>hat erfahren<br/>A<br/><br/>дізнаватися<br/><br/>;Verb
erfinden;erfand<br/>hat erfunden<br/>A<br/><br/>винаходити<br/><br/>finden знаходити;Verb
erfüllen;erfüllte<br/>hat erfüllt<br/>D + A<br/><br/>виконувати, здійснювати<br/><br/>füllen наповнювати;Verb
erhalten;erhielt<br/>hat erhalten<br/>A<br/><br/>отримувати<br/><br/>halten тримати;Verb
erinnern (sich);erinnerte<br/>hat sich erinnert<br/>an +A<br/><br/>пригадувати<br/><br/>;Verb
erklären;erklärte<br/>hat erklärt<br/>D + A<br/><br/>пояснювати<br/><br/>;Verb
erlauben;erlaubte<br/>hat erlaubt<br/>D + A<br/><br/>дозволяти<br/><br/>lauben (застар.) дозволяти;Verb
erwarten;erwartete<br/>hat erwartet<br/>A<br/><br/>очікувати<br/><br/>warten чекати;Verb
erzählen;erzählte<br/>hat erzählt<br/>A<br/><br/>розповідати<br/><br/>;Verb
essen;aß<br/>hat gegessen<br/>A<br/><br/>їсти<br/><br/>;Verb
fallen;fiel<br/>ist gefallen<br/><br/><br/>падати<br/><br/>;Verb
fangen;fing<br/>hat gefangen<br/>A<br/><br/>ловити<br/><br/>;Verb
finden;fand<br/>hat gefunden<br/>A<br/><br/>вважати/знаходити<br/><br/>;Verb
folgen;folgte<br/>ist gefolgt<br/>D<br/><br/>слідувати<br/><br/>;Verb
fragen;fragte<br/>hat gefragt<br/>A<br/><br/>питати<br/><br/>;Verb
fühlen;fühlte<br/>hat gefühlt<br/><br/><br/>відчувати<br/><br/>;Verb
führen;führte<br/>hat geführt<br/>A<br/><br/>вести<br/><br/>;Verb
geben;gab<br/>hat gegeben<br/>D + A<br/><br/>давати<br/><br/>;Verb
gefallen;gefiel<br/>hat gefallen<br/>D<br/><br/>подобатися<br/><br/>;Verb
gehen;ging<br/>ist gegangen<br/><br/><br/>йти<br/><br/>;Verb
gehören;gehörte<br/>hat gehört<br/>D<br/><br/>належати<br/><br/>;Verb
gelingen;gelang<br/>ist gelungen<br/>D<br/><br/>вдаватися<br/><br/>;Verb
genießen;genoss<br/>hat genossen<br/>A<br/><br/>насолоджуватися<br/><br/>;Verb
gewinnen;gewann<br/>hat gewonnen<br/>A<br/><br/>вигравати<br/><br/>;Verb
glauben;glaubte<br/>hat geglaubt<br/>D<br/><br/>вірити<br/><br/>;Verb
gratulieren;gratulierte<br/>hat gratuliert<br/>D<br/><br/>вітати<br/><br/>;Verb
halten;hielt<br/>hat gehalten<br/>A<br/><br/>тримати<br/><br/>;Verb
handeln;handelte<br/>hat gehandelt<br/><br/><br/>йтися (про)<br/><br/>;Verb
helfen;half<br/>hat geholfen<br/>D<br/><br/>допомагати<br/><br/>;Verb
hoffen;hoffte<br/>hat gehofft<br/><br/><br/>сподіватися<br/><br/>;Verb
holen;holte<br/>hat geholt<br/>A<br/><br/>приносити<br/><br/>;Verb
hören;hörte<br/>hat gehört<br/>A<br/><br/>слухати<br/><br/>;Verb
kaufen;kaufte<br/>hat gekauft<br/>A<br/><br/>купувати<br/><br/>;Verb
kennenlernen;lernte kennen<br/>hat kennengelernt<br/>A<br/><br/>познайомитися<br/><br/>kennen знати;Verb
kochen;kochte<br/>hat gekocht<br/>A<br/><br/>готувати<br/><br/>;Verb
kommen;kam<br/>ist gekommen<br/><br/><br/>приходити<br/><br/>;Verb
kriegen;kriegte<br/>hat gekriegt<br/>A<br/><br/>отримувати<br/><br/>;Verb
lachen;lachte<br/>hat gelacht<br/><br/><br/>сміятися<br/><br/>;Verb
lassen;ließ<br/>hat gelassen<br/>A<br/><br/>залишати / дозволяти<br/><br/>;Verb
laufen;lief<br/>ist gelaufen<br/><br/><br/>бігти<br/><br/>;Verb
leben;lebte<br/>hat gelebt<br/><br/><br/>жити<br/><br/>;Verb
legen;legte<br/>hat gelegt<br/>A<br/><br/>класти<br/><br/>;Verb
lernen;lernte<br/>hat gelernt<br/>A<br/><br/>вчити<br/><br/>;Verb
lesen;las<br/>hat gelesen<br/>A<br/><br/>читати<br/><br/>;Verb
lieben;liebte<br/>hat geliebt<br/>A<br/><br/>любити<br/><br/>;Verb
liegen;lag<br/>hat gelegen<br/><br/><br/>лежати<br/><br/>;Verb
meinen;meinte<br/>hat gemeint<br/>A<br/><br/>вважати<br/><br/>;Verb
merken;merkte<br/>hat gemerkt<br/>A<br/><br/>помічати<br/><br/>;Verb
mitbringen;brachte mit<br/>hat mitgebracht<br/>A<br/><br/>принести<br/><br/>bringen приносити;Verb
mitnehmen;nahm mit<br/>hat mitgenommen<br/>A<br/><br/>брати із собою<br/><br/>nehmen брати;Verb
nutzen;nutzte<br/>hat genutzt<br/>A<br/><br/>використовувати<br/><br/>;Verb
öffnen;öffnete<br/>hat geöffnet<br/>A<br/><br/>відкривати<br/><br/>;Verb
ordnen;ordnete<br/>hat geordnet<br/>A<br/><br/>упорядковувати<br/><br/>;Verb
passieren;passierte<br/>ist passiert<br/>D<br/><br/>траплятися<br/><br/>;Verb
planen;plante<br/>hat geplant<br/>A<br/><br/>планувати<br/><br/>;Verb
probieren;probierte<br/>hat probiert<br/>A<br/><br/>пробувати<br/><br/>;Verb
putzen;putzte<br/>hat geputzt<br/>A<br/><br/>чистити<br/><br/>;Verb
rappen;rappte<br/>hat gerappt<br/><br/><br/>читати реп<br/><br/>;Verb
reagieren;reagierte<br/>hat reagiert<br/>auf +A<br/><br/>реагувати<br/><br/>;Verb
reden;redete<br/>hat geredet<br/>über +A<br/><br/>розмовляти<br/><br/>;Verb
reisen;reiste<br/>ist gereist<br/><br/><br/>подорожувати<br/><br/>;Verb
retten;rettete<br/>hat gerettet<br/>A<br/><br/>рятувати<br/><br/>;Verb
riechen;roch<br/>hat gerochen<br/><br/><br/>пахнути<br/><br/>;Verb
rufen;rief<br/>hat gerufen<br/>A<br/><br/>кликати<br/><br/>;Verb
sagen;sagte<br/>hat gesagt<br/>D + A<br/><br/>казати<br/><br/>;Verb
sammeln;sammelte<br/>hat gesammelt<br/>A<br/><br/>збирати<br/><br/>;Verb
schaffen;schuf<br/>hat geschaffen<br/>A<br/><br/>створювати<br/><br/>;Verb
schauen;schaute<br/>hat geschaut<br/>A<br/><br/>дивитися<br/><br/>;Verb
schenken;schenkte<br/>hat geschenkt<br/>D + A<br/><br/>дарувати<br/><br/>;Verb
schicken;schickte<br/>hat geschickt<br/>D + A<br/><br/>надсилати<br/><br/>;Verb
schlafen;schlief<br/>hat geschlafen<br/><br/><br/>спати<br/><br/>;Verb
schneiden;schnitt<br/>hat geschnitten<br/>A<br/><br/>різати<br/><br/>;Verb
schreiben;schrieb<br/>hat geschrieben<br/>A<br/><br/>писати<br/><br/>;Verb
sehen;sah<br/>hat gesehen<br/>A<br/><br/>бачити<br/><br/>;Verb
setzen;setzte<br/>hat gesetzt<br/>A<br/><br/>садити<br/><br/>;Verb
singen;sang<br/>hat gesungen<br/>A<br/><br/>співати<br/><br/>;Verb
spielen;spielte<br/>hat gespielt<br/>A<br/><br/>грати<br/><br/>;Verb
sprechen;sprach<br/>hat gesprochen<br/>A<br/><br/>говорити<br/><br/>;Verb
stören;störte<br/>hat gestört<br/>A<br/><br/>заважати<br/><br/>;Verb
streiten (sich);stritt<br/>hat sich gestritten<br/><br/><br/>сваритися<br/><br/>;Verb
studieren;studierte<br/>hat studiert<br/>A<br/><br/>вивчати<br/><br/>;Verb
suchen;suchte<br/>hat gesucht<br/>A<br/><br/>шукати<br/><br/>;Verb
surfen;surfte<br/>hat gesurft<br/><br/><br/>серфити<br/><br/>;Verb
tanzen;tanzte<br/>hat getanzt<br/><br/><br/>танцювати<br/><br/>;Verb
tragen;trug<br/>hat getragen<br/>A<br/><br/>носити<br/><br/>;Verb
treffen;traf<br/>hat getroffen<br/>A<br/><br/>зустрічати<br/><br/>;Verb
trinken;trank<br/>hat getrunken<br/>A<br/><br/>пити<br/><br/>;Verb
tun;tat<br/>hat getan<br/>A<br/><br/>робити<br/><br/>;Verb
unterhalten (sich);unterhielt<br/>hat sich unterhalten<br/>über +A<br/><br/>спілкуватися/розважатись<br/><br/>halten тримати;Verb
verdienen;verdiente<br/>hat verdient<br/>A<br/><br/>заробляти<br/><br/>;Verb
vergessen;vergaß<br/>hat vergessen<br/>A<br/><br/>забувати<br/><br/>;Verb
vergleichen;verglich<br/>hat verglichen<br/>A<br/><br/>порівнювати<br/><br/>;Verb
verkaufen;verkaufte<br/>hat verkauft<br/>A<br/><br/>продавати<br/><br/>;Verb
verlassen;verließ<br/>hat verlassen<br/>A<br/><br/>залишати<br/><br/>;Verb
verlieren;verlor<br/>hat verloren<br/>A<br/><br/>втрачати<br/><br/>;Verb
veröffentlichen;veröffentlichte<br/>hat veröffentlicht<br/>A<br/><br/>публікувати<br/><br/>;Verb
verstehen;verstand<br/>hat verstanden<br/>A<br/><br/>розуміти<br/><br/>;Verb
versuchen;versuchte<br/>hat versucht<br/>A<br/><br/>намагатися<br/><br/>;Verb
vorbereiten;bereitete vor<br/>hat vorbereitet<br/>A<br/><br/>підготувати<br/><br/>bereiten готувати;Verb
vorschlagen;schlug vor<br/>hat vorgeschlagen<br/>D + A<br/><br/>пропонувати<br/><br/>schlagen бити;Verb
wählen;wählte<br/>hat gewählt<br/>A<br/><br/>обирати<br/><br/>;Verb
warten;wartete<br/>hat gewartet<br/>A<br/><br/>чекати<br/><br/>;Verb
waschen;wusch<br/>hat gewaschen<br/>A<br/><br/>мити<br/><br/>;Verb
wechseln;wechselte<br/>hat gewechselt<br/>A<br/><br/>міняти<br/><br/>;Verb
werden;wurde<br/>ist geworden<br/><br/><br/>ставати<br/><br/>;Verb
wissen;wusste<br/>hat gewusst<br/>A<br/><br/>знати<br/><br/>;Verb
zeigen;zeigte<br/>hat gezeigt<br/>D + A<br/><br/>показувати<br/><br/>;Verb
zerschneiden;zerschnitt<br/>hat zerschnitten<br/>A<br/><br/>розрізати<br/><br/>schneiden різати;Verb
ziehen;zog<br/>ist/hat gezogen<br/>A<br/><br/>тягти/переїжджати<br/><br/>;Verb
Abend;der<br/><br/>Abende<br/><br/>вечір<br/><br/>verbringen, planen;Nomen
Abenteuer;das<br/><br/>Abenteuer<br/><br/>пригода<br/><br/>erleben, erzählen;Nomen
Antwort;die<br/><br/>Antworten<br/><br/>відповідь<br/><br/>geben, erhalten;Nomen
Arbeit;die<br/><br/>Arbeiten<br/><br/>робота<br/><br/>suchen, leisten;Nomen
Arbeitslosigkeit;die<br/><br/>—<br/><br/>безробіття<br/><br/>steigen, bekämpfen;Nomen
Arbeitsverhältnis;das<br/><br/>Arbeitsverhältnisse<br/><br/>трудові відносини<br/><br/>kündigen, verbessern;Nomen
Aufgabe;die<br/><br/>Aufgaben<br/><br/>завдання<br/><br/>lösen, bekommen;Nomen
Backgammon _das Spiel_;—<br/><br/>—<br/><br/>бекґеммон<br/><br/>spielen, gewinnen;Nomen
Band;die<br/><br/>Bands<br/><br/>гурт<br/><br/>gründen, hören;Nomen
Banane;die<br/><br/>Bananen<br/><br/>банан<br/><br/>essen, kaufen;Nomen
Bild / Foto;das<br/><br/>Bilder<br/><br/>зображення / фото<br/><br/>machen, zeigen;Nomen
CD;die<br/><br/>CDs<br/><br/>компакт-диск<br/><br/>hören, kaufen;Nomen
Couch-Sofa;das<br/><br/>Couchs<br/><br/>диван<br/><br/>liegen, verlassen;Nomen
Computer;der<br/><br/>Computer<br/><br/>комп'ютер<br/><br/>benutzen, ausschalten;Nomen
Darsteller;der<br/><br/>Darsteller<br/><br/>актор<br/><br/>spielen, engagieren;Nomen
DVD;die<br/><br/>DVDs<br/><br/>DVD<br/><br/>kaufen, abspielen;Nomen
Dankeschön;das<br/><br/>Dankeschöns<br/><br/>подяка<br/><br/>sagen, bekommen;Nomen
Diskussion;die<br/><br/>Diskussionen<br/><br/>дискусія<br/><br/>führen, beginnen;Nomen
Deutschkurs;der<br/><br/>Deutschkurse<br/><br/>курс німецької<br/><br/>besuchen, absolvieren;Nomen
Fernsehabend;der<br/><br/>Fernsehabende<br/><br/>вечір перед ТВ<br/><br/>planen, genießen;Nomen
Fernsehen;das<br/><br/>—<br/><br/>телебачення<br/><br/>sehen, einschalten;Nomen
Fernsehsender;der<br/><br/>Fernsehsender<br/><br/>телеканал<br/><br/>gründen, wechseln;Nomen
Folge;die<br/><br/>Folgen<br/><br/>серія (тв)<br/><br/>sehen, verpassen;Nomen
Film;der<br/><br/>Filme<br/><br/>фільм<br/><br/>sehen, drehen;Nomen
Frage;die<br/><br/>Fragen<br/><br/>запитання<br/><br/>stellen, beantworten;Nomen
Flugzeugabsturz;der<br/><br/>Flugzeugabstürze<br/><br/>авіакатастрофа<br/><br/>überleben, untersuchen;Nomen
Freund;der<br/><br/>Freunde<br/><br/>друг<br/><br/>finden, besuchen;Nomen
Freundin;die<br/><br/>Freundinnen<br/><br/>подруга<br/><br/>anrufen, treffen;Nomen
Galerie _Foto_;die<br/><br/>Galerien<br/><br/>галерея<br/><br/>besuchen, eröffnen;Nomen
Geld;das<br/><br/>—<br/><br/>гроші<br/><br/>verdienen, ausgeben;Nomen
Gegenstand;der<br/><br/>Gegenstände<br/><br/>предмет<br/><br/>finden, benutzen;Nomen
Geschichte;die<br/><br/>Geschichten<br/><br/>історія<br/><br/>erzählen, schreiben;Nomen
Gespräch;das<br/><br/>Gespräche<br/><br/>розмова<br/><br/>führen, beenden;Nomen
Idee;die<br/><br/>Ideen<br/><br/>ідея<br/><br/>haben, umsetzen;Nomen
Insel;die<br/><br/>Inseln<br/><br/>острів<br/><br/>verlassen, entdecken;Nomen
Internet;das<br/><br/>—<br/><br/>інтернет<br/><br/>nutzen, surfen;Nomen
Jugendliche;der<br/><br/>Jugendlichen<br/><br/>підліток<br/><br/>werden, unterstützen;Nomen
Jahr;das<br/><br/>Jahre<br/><br/>рік<br/><br/>beginnen, enden;Nomen
Karte;die<br/><br/>Karten<br/><br/>квиток<br/><br/>kaufen, zeigen;Nomen
Kind;das<br/><br/>Kinder<br/><br/>дитина<br/><br/>erziehen, lieben;Nomen
Kleider;die<br/><br/>—<br/><br/>одяг<br/><br/>tragen, kaufen;Nomen
Kneipe;die<br/><br/>Kneipen<br/><br/>пивна<br/><br/>gehen, treffen;Nomen
Kommissar;der<br/><br/>Kommissare<br/><br/>комісар<br/><br/>ermitteln, verhaften;Nomen
Kommunikation;die<br/><br/>—<br/><br/>спілкування<br/><br/>verbessern, brauchen;Nomen
Land;das<br/><br/>Länder<br/><br/>країна / земля<br/><br/>verlassen, besuchen;Nomen
Lieblingsserie;die<br/><br/>Lieblingsserien<br/><br/>улюблений серіал<br/><br/>sehen, empfehlen;Nomen
Lied;das<br/><br/>Lieder<br/><br/>пісня<br/><br/>singen, hören;Nomen
Lust;die<br/><br/>—<br/><br/>бажання<br/><br/>haben, verlieren;Nomen
Märchen;das<br/><br/>Märchen<br/><br/>казка<br/><br/>lesen, erzählen;Nomen
Musiker;der<br/><br/>Musiker<br/><br/>музикант<br/><br/>werden, auftreten;Nomen
Musik;die<br/><br/>—<br/><br/>музика<br/><br/>machen, genießen;Nomen
Mutter;die<br/><br/>Mütter<br/><br/>мати<br/><br/>werden, lieben;Nomen
Nachricht;die<br/><br/>Nachrichten<br/><br/>новина<br/><br/>lesen, verbreiten;Nomen
Name;der<br/><br/>Namen<br/><br/>ім'я<br/><br/>tragen, nennen;Nomen
Party;die<br/><br/>Partys<br/><br/>вечірка<br/><br/>feiern, planen;Nomen
Kino;das<br/><br/>Kinos<br/><br/>кінотеатр<br/><br/>gehen, besuchen<br/>;Nomen
Kiste;die<br/><br/>Kisten<br/><br/>коробка<br/><br/>finden, öffnen<br/>;Nomen
Kolumne;die<br/><br/>Kolumnen<br/><br/>колонка (стаття)<br/><br/>lesen, schreiben<br/>;Nomen
Komödie;die<br/><br/>Komödien<br/><br/>комедія<br/><br/>sehen, empfehlen<br/>;Nomen
Konzert;das<br/><br/>Konzerte<br/><br/>концерт<br/><br/>besuchen, genießen<br/>;Nomen
Konsum;der<br/><br/>—<br/><br/>споживання<br/><br/>steigern, kritisieren<br/>;Nomen
Krimi;der<br/><br/>Krimis<br/><br/>детектив<br/><br/>schauen, lösen<br/>;Nomen
Kriminalität;die<br/><br/>—<br/><br/>злочинність<br/><br/>bekämpfen, beschreiben<br/>;Nomen
Kriminalserie;die<br/><br/>Kriminalserien<br/><br/>детективний серіал<br/><br/>produzieren, verfolgen<br/>;Nomen
Krankenhaus;das<br/><br/>Krankenhäuser<br/><br/>лікарня<br/><br/>arbeiten, besuchen<br/>;Nomen
Küche;die<br/><br/>Küchen<br/><br/>кухня<br/><br/>putzen, betreten<br/>;Nomen
Lehrbuch;das<br/><br/>Lehrbücher<br/><br/>підручник<br/><br/>öffnen, durchblättern<br/>;Nomen
Lieblingsfilm;der<br/><br/>Lieblingsfilme<br/><br/>улюблений фільм<br/><br/>mitbringen, ansehen<br/>🎞️;Nomen
Minute;die<br/><br/>Minuten<br/><br/>хвилина<br/><br/>dauern, zählen<br/>⏱️;Nomen
Müll;der<br/><br/>—<br/><br/>сміття<br/><br/>wegbringen, trennen<br/>🗑️;Nomen
Oma;die<br/><br/>Omas<br/><br/>бабуся<br/><br/>besuchen, anrufen<br/>👵;Nomen
Operation;die<br/><br/>Operationen<br/><br/>операція<br/><br/>durchführen, überstehen<br/>🩺;Nomen
Pflegeheim;das<br/><br/>Pflegeheime<br/><br/>будинок опіки<br/><br/>leiten, bauen<br/>🏡;Nomen
Problem;das<br/><br/>Probleme<br/><br/>проблема<br/><br/>lösen, besprechen<br/>❓;Nomen
Prüfung;die<br/><br/>Prüfungen<br/><br/>іспит<br/><br/>bestehen, schreiben<br/>📝;Nomen
Quizshow;die<br/><br/>Quizshows<br/><br/>вікторина (шоу)<br/><br/>moderieren, gewinnen<br/>❔;Nomen
Rapper;der<br/><br/>Rapper<br/><br/>репер<br/><br/>auftreten, rappen<br/>🎤;Nomen
Ratenkauf;der<br/><br/>Ratenkäufe<br/><br/>покупка в розстрочку<br/><br/>abschließen, bezahlen<br/>💳;Nomen
Reise;die<br/><br/>Reisen<br/><br/>подорож<br/><br/>planen, antreten<br/>🧳;Nomen
Restaurant;das<br/><br/>Restaurants<br/><br/>ресторан<br/><br/>eröffnen, besuchen<br/>🍽️;Nomen
Rundfunk;der<br/><br/>—<br/><br/>радіомовлення<br/><br/>senden, empfangen<br/>📻;Nomen
Sänger;der<br/><br/>Sänger<br/><br/>співак<br/><br/>auftreten, proben<br/>🎤;Nomen
Schauspieler;der<br/><br/>Schauspieler<br/><br/>актор<br/><br/>spielen, engagieren<br/>🎭;Nomen
Serie;die<br/><br/>Serien<br/><br/>серіал<br/><br/>drehen, anschauen<br/>📺;Nomen
Sofa;das<br/><br/>Sofas<br/><br/>диван<br/><br/>kaufen, verlassen<br/>🛋️;Nomen
Song;der<br/><br/>Songs<br/><br/>пісня<br/><br/>hören, schreiben<br/>🎵;Nomen
Spielfilm;der<br/><br/>Spielfilme<br/><br/>художній фільм<br/><br/>drehen, ausstrahlen<br/>🎬;Nomen
Sport;der<br/><br/>—<br/><br/>спорт<br/><br/>treiben, schauen<br/>🏅;Nomen
Staffel;die<br/><br/>Staffeln<br/><br/>сезон (серіалу)<br/><br/>veröffentlichen, verlängern<br/>🗂️;Nomen
Statistik;die<br/><br/>Statistiken<br/><br/>статистика<br/><br/>erstellen, auswerten<br/>📊;Nomen
Stadt;die<br/><br/>Städte<br/><br/>місто<br/><br/>besuchen, verlassen<br/>🏙️;Nomen
Stunde;die<br/><br/>Stunden<br/><br/>година<br/><br/>dauern, unterrichten<br/>⌛;Nomen
Tiger;der<br/><br/>Tiger<br/><br/>тигр<br/><br/>treffen, zeichnen<br/>🐯;Nomen
Titel;der<br/><br/>Titel<br/><br/>титул / назва<br/><br/>tragen, verleihen<br/>🏷️;Nomen
Tochter;die<br/><br/>Töchter<br/><br/>донька<br/><br/>erziehen, umarmen<br/>👧;Nomen
Tonne;die<br/><br/>Tonnen<br/><br/>сміттєвий бак<br/><br/>leeren, stellen<br/>🗑️;Nomen
Traum;der<br/><br/>Träume<br/><br/>мрія<br/><br/>haben, erfüllen<br/>💭;Nomen
Typ;der<br/><br/>Typen<br/><br/>тип, хлопець<br/><br/>treffen, beschreiben<br/>🧑;Nomen
Ufer;das<br/><br/>Ufer<br/><br/>берег<br/><br/>erreichen, verlassen<br/>🏞️;Nomen
Verlierer;der<br/><br/>Verlierer<br/><br/>невдаха<br/><br/>nennen, unterstützen<br/>😞;Nomen
Vertrag;der<br/><br/>Verträge<br/><br/>договір<br/><br/>unterschreiben, kündigen<br/>📄;Nomen
Wunsch;der<br/><br/>Wünsche<br/><br/>бажання<br/><br/>äußern, erfüllen<br/>🙏;Nomen
Witz;der<br/><br/>Witze<br/><br/>жарт<br/><br/>erzählen, verstehen<br/>😄;Nomen
Zeitung;die<br/><br/>Zeitungen<br/><br/>газета<br/><br/>lesen, abonnieren<br/>📰;Nomen
Zeitschrift;die<br/><br/>Zeitschriften<br/><br/>журнал<br/><br/>durchblättern, kaufen<br/>🗞️;Nomen
Zeit;die<br/><br/>Zeiten<br/><br/>час<br/><br/>nutzen, verlieren<br/>⌛;Nomen
Zuschauer;der<br/><br/>Zuschauer<br/><br/>глядач<br/><br/>zählen, begeistern<br/>👀;Nomen
aktuell;veraltet<br/>актуальний / застарілий<br/><br/>aktuelle Nachricht verstehen<br/>Adjektiv
allein;gemeinsam<br/>самотній / спільний<br/><br/>allein lebender Mensch unterstützen<br/>Adjektiv
alt;neu<br/>старий / новий<br/><br/>alte Serie weitersehen<br/>Adjektiv
brutal;sanft<br/>жорстокий / м'який<br/><br/>brutaler Krimi schockt<br/>Adjektiv
faul;fleißig<br/>лінивий / старанний<br/><br/>faule Tochter meiden<br/>Adjektiv
fleißig;faul<br/>старанний / лінивий<br/><br/>fleißiges Kind loben<br/>Adjektiv
glücklich;unglücklich<br/>щасливий / нещасний<br/><br/>glücklicher Gewinner lächelt<br/>Adjektiv
hässlich;schön<br/>потворний / гарний<br/><br/>hässliche Kleidung vermeiden<br/>Adjektiv
interessant;langweilig<br/>цікавий / нудний<br/><br/>interessantes Thema diskutieren<br/>Adjektiv
jung;alt<br/>молодий / старий<br/><br/>junge Zuschauer begeistern<br/>Adjektiv
komisch;ernst<br/>кумедний / серйозний<br/><br/>komische Szene darstellen<br/>Adjektiv
kurz;lang<br/>короткий / довгий<br/><br/>kurze Staffel schauen<br/>Adjektiv
langweilig;spannend<br/>нудний / захопливий<br/><br/>langweiliger Film einschläfern<br/>Adjektiv
laut;leise<br/>гучний / тихий<br/><br/>laute Musik hören<br/>Adjektiv
leer;voll<br/>порожній / повний<br/><br/>leerer Saal enttäuscht<br/>Adjektiv
lieb;böse<br/>добрий / злий<br/><br/>liebe Oma umarmen<br/>Adjektiv
modern;altmodisch<br/>сучасний / старомодний<br/><br/>moderne Serie streamen<br/>Adjektiv
müde;wach<br/>втомлений / бадьорий<br/><br/>müde Student lernen<br/>Adjektiv
optimistisch;pessimistisch<br/>оптимістичний / песимістичний<br/><br/>optimistische Figur inspirieren<br/>Adjektiv
positiv;negativ<br/>позитивний / негативний<br/><br/>positive Nachricht melden<br/>Adjektiv
realistisch;unrealistisch<br/>реалістичний / нереалістичний<br/><br/>realistische Folge loben<br/>Adjektiv
