Front,Back,Tags
Einnahme,"die Einnahme, Einnahmen, надходження<br><br>Die täglichen Einnahmen sind gestiegen. – Щоденні надходження зросли.<br><br><br><br>kalkulieren – калькулювати, veranlassen – ініціювати, erzielen – досягати, prognostizieren – прогнозувати, kontrollieren – контролювати<br><br>einnehmen – приймати; Einnahmequelle – джерело доходу<br><br>Ertrag – дохід",7DasPräteritumDerUnregelmäßigenVerben Nomen
Einschlafstörung,"die Einschlafstörung, Einschlafstörungen, порушення засинання<br><br>Ich leide an einer Einschlafstörung. – Я страждаю на порушення засинання.<br><br><br><br>haben – мати, behandeln – лікувати, lindern – полегшувати, diagnostizieren – діагностувати, vermeiden – уникати<br><br>einschlafen – засинати<br><br>Schlafstörung – порушення сну",13LeseverstehenZumPräteritum Nomen
Einweihungsparty,"die Einweihungsparty, Einweihungspartys, вечірка з нагоди новосілля<br><br>Zur Einweihungsparty sind alle Freunde eingeladen. – На вечірку з нагоди новосілля запрошені всі друзі.<br><br>die Einweihung – посвячення; die Party – вечірка<br><br>organisieren – організовувати, einladen – запрошувати, stattfinden – відбуватися, dekorieren – прикрашати, versammeln – збирати<br><br>einweihen – урочисто відкривати<br><br>Hausparty – домашня вечірка",7DasPräteritumDerUnregelmäßigenVerben Nomen
Einzahlung,"die Einzahlung, Einzahlungen, внесок<br><br>Die Einzahlung muss bis Freitag erfolgen. – Внесок має бути здійснений до п’ятниці.<br><br><br><br>tätigen – здійснювати, veranlassen – ініціювати, bestätigen – підтверджувати, leisten – сплачувати, überweisen – переказувати<br><br>einzahlen – вносити<br><br>Einzahlungsvorgang – процес внесення коштів",Nomen
Erde,"die Erde, Erden, земля<br><br>Die Erde dreht sich um die Sonne. – Земля обертається навколо Сонця.<br><br><br><br>d����en – обертати, bewohnen – населяти, schützen – захищати, erkunden – досліджувати, graben – копати<br><br>erden – заземляти<br><br>Planet – планета",7DasPräteritumDerUnregelmäßigenVerben Nomen
Erkältung,"die Erkältung, Erkältungen, застуда<br><br>Er hat sich eine Erkältung geholt. – Він підхопив застуду.<br><br><br><br>bekommen – отримувати, kurieren – лікувати, niesen – чхати, husten – кашляти, vermeiden – уникати<br><br>erkälten – застуджуватися<br><br>grippaler Infekt – ГРВІ",7DasPräteritumDerUnregelmäßigenVerben Nomen
Erzbischof,"der Erzbischof, Erzbischöfe, архієпископ<br><br>Der Erzbischof weihte die neue Kirche ein. – Архієпископ посвятив нову церкву.<br><br>der Bischof – єпископ<br><br>ernennen – призначати, weihen – посвячувати, leiten – очолювати, vertreten – представляти, verehren – шанувати<br><br>weihen – посвячувати<br><br>Metropolit – митрополит",7DasPräteritumDerUnregelmäßigenVerben Nomen
Fähigkeit,"die Fähigkeit, Fähigkeiten, здатність<br><br>Er hat die Fähigkeit zu überzeugen. – У нього є здатність переконувати.<br><br>entwickeln – розвивати; einsetzen – застосовувати; verbessern – покращувати; fördern – сприяти<br><br>befähigen – уповноважувати<br><br>das Talent – талант; die Begabung – обдарованість",Nomen StellenaziegeMechatroniker
Fahrzeug,"das Fahrzeug, Fahrzeuge, транспортний засіб<br><br>Dieses Fahrzeug ist sehr effizient. – Цей транспортний засіб дуже ефективний.<br><br>das Zeug – річ<br><br>fahren – їхати; versichern – страхувати; mieten – орендувати; verkaufen – продавати; warten – обслуговувати<br><br>fahren – їхати<br><br>das Auto – автомобіль; der Wagen – віз; die Maschine – машина",Nomen StellenaziegeMechatroniker
Fall,"der Fall, Fälle, випадок<br><br>In diesem Fall gebe ich dir recht. – У цьому випадку я з тобою погоджуюсь.<br><br>untersuchen – розслідувати; auftreten – виникати; lösen – вирішувати; prüfen – перевіряти; dokumentieren – документувати<br><br>fallen – падати<br><br>das Ereignis – подія; der Vorfall – інцидент",Nomen StellenaziegeMechatroniker
Falle,"die Falle, Fallen, пастка<br><br>Er fiel in eine Falle. – Він потрапив у пастку.<br><br>stellen – ставити; fangen – ловити; auslösen – активувати; entkommen – уникати; umrunden – оточувати<br><br>fellen – рубати<br><br>der Hinterhalt – засідка; die Konstruktion – пастка",7DasPräteritumDerUnregelmäßigenVerben Nomen
Familie,"die Familie, Familien, сім’я<br><br>Meine Familie lebt in der Ukraine. – Моя сім’я живе в Україні.<br><br>gründen – створювати; zusammenleben – жити разом; unterstützen – підтримувати; besuchen – відвідувати; ernähren – годувати<br><br>der Haushalt – домашнє господарство; die Sippe – рід",13LeseverstehenZumPräteritum Nomen
Feier,"die Feier, Feiern, святкування<br><br>Die Feier beginnt um 18 Uhr. – Святкування починається о 18 годині.<br><br>veranstalten – організовувати; genießen – насолоджуватися; abbrechen – переривати; ausklingen lassen – завершувати; besuchen – відвідувати<br><br>feiern – святкувати<br><br>das Fest – свято; die Veranstaltung – захід",Nomen
Fenster,"das Fenster, Fenster, вікно<br><br>Bitte öffne das Fenster. – Будь ласка, відкрий вікно.<br><br>öffnen – відкривати; schließen – закривати; reinigen – очищати; verglasen – остіклити; lüften – провітрювати<br><br>die Öffnung – отвір; die Scheibe – віконне скло",Nomen
Fernbedienung,"die Fernbedienung, Fernbedienungen, пульт дистанційного керування<br><br>Wo ist die Fernbedienung für den Fernseher? – Де пульт дистанційного керування для телевізора?<br><br>die Bedienung – обслуговування<br><br>handhaben – користуватися; verlegen – загубити; aufladen – заряджати; programmieren – програмувати; ersetzen – замінювати<br><br>bedienen – обслуговувати<br><br>der Controller – контролер; das Bediengerät – пристрій керування",13LeseverstehenZumPräteritum Nomen
Fernsehabend,"der Fernsehabend, Fernsehabende, телевізійний вечір<br><br>Am Samstag habe ich einen gemütlichen Fernsehabend. – У суботу я маю затишний телевізійний вечір.<br><br>das Fernsehen – телебачення; der Abend – вечір<br><br>einschalten – включати; ausschalten – вимикати; zappen – перемикати; aufnehmen – записувати; sehen – дивитися<br><br>fernsehen – дивитися телебачення<br><br>der TV-Abend – телевізійний вечір",Buch5 Folge2 Nomen
Fernsehen,"das Fernsehen, –, телебачення<br><br>Früher stand das Fernsehen den ganzen Abend an. – Раніше телевізор працював увесь вечір.<br><br>fern – далекий; sehen – бачити<br><br>schauen – дивитися; aufnehmen – записувати; streamen – стрімити; senden – транслювати; produzieren – виробляти<br><br>fernsehen – дивитися телебачення<br><br>das TV – телебачення; die Glotze – телевізор (сленг)",Buch5 Folge2 Nomen
Fernsehprogramm,"das Fernsehprogramm, Fernsehprogramme, телепрограма<br><br>Das neue Fernsehprogramm beginnt um 20 Uhr. – Нова телепрограма починається о 20 годині.<br><br>das Fernsehen – телебачення; das Programm – програма<br><br>senden – транслювати; planen – планувати; erweitern – розширювати; überblicken – оглядати; aufnehmen – записувати<br><br>ausstrahlen – транслювати; programmieren – програмувати<br><br>die Sendereihe – цикл передач; die TV-Show – телешоу",13LeseverstehenZumPräteritum Nomen
Fernsehsender,"der Fernsehsender, Fernsehsender, телеканал<br><br>Ich habe den neuen Fernsehsender abonniert. – Я підписався на новий телеканал.<br><br>das Fernsehen – телебачення; der Sender – передавач<br><br>empfangen – приймати; finanzieren – фінансувати; ausstrahlen – транслювати; kritisieren – критикувати; reporten – висвітлювати<br><br>senden – транслювати<br><br>der Kanal – канал; die Station – станція",Buch5 Folge2 Nomen
Fest,"das Fest, Feste, свято<br><br>Wir feiern heute ein großes Fest. – Сьогодні ми святкуємо велике свято.<br><br><br><br>feiern – святкувати; ausrichten – проводити; stattfinden – відбуватися; begleiten – супроводжувати; vorbereiten – готувати<br><br>festlegen – визначати; festlich – урочистий<br><br>die Feier – святкування; die Veranstaltung – захід",Nomen
Fettnäpfchen,"das Fettnäpfchen, Fettnäpfchen, оплошність<br><br>Er ist schon wieder ins Fettnäpfchen getreten. – Він знову припустився оплошності.<br><br>das Fett – жир; das Näpfchen – мисочка<br><br>treten – наступати; vermeiden – уникати; landen – потрапляти; stolpern – спіткнутися; lachen – сміятися<br><br>fettnäpfeln – припускатися оплошності<br><br>die Peinlichkeit – незручність; das Missgeschick – невдача",7DasPräteritumDerUnregelmäßigenVerben Nomen
Feuer,"das Feuer, Feuer, вогонь<br><br>Das Feuer im Kamin knistert leise. – Вогонь у каміні тихо потріскує.<br><br><br><br>löschen – гасити; entfachen – розпалювати; brennen – горіти; schützen – захищати; bekämpfen – боротися<br><br>befeuern – підпалювати; feurig – вогненний<br><br>das Feuerwerk – феєрверк; die Flamme – полум’я",Nomen
Film,"der Film, Filme, фільм<br><br>Wir sehen uns morgen einen neuen Film an. – Завтра ми подивимося новий фільм.<br><br><br><br>drehen – знімати; produzieren – виробляти; veröffentlichen – публікувати; empfehlen – рекомендувати; besprechen – обговорювати<br><br>filmen – знімати; Filmmusik – музика до фільму<br><br>der Streifen – стрічка; der Spielfilm – ігровий фільм",Buch5 Folge2 Nomen
Firma,"die Firma, Firmen, компанія<br><br>Die Firma expandiert ins Ausland. – Компанія розширюється за кордоном.<br><br><br><br>leiten – керувати; eröffnen – відкривати; übernehmen – перебирати; expandieren – розширювати; fusionieren – зливатися<br><br>firmieren – діяти під назвою<br><br>das Unternehmen – підприємство; die Gesellschaft – товариство",KontakteInformationenZurPerson Nomen
Flexibilität,"die Flexibilität, Flexibilitäten, гнучкість<br><br>Flexibilität im Job ist heute wichtig. – Гнучкість на роботі сьогодні важлива.<br><br><br><br>zeigen – показувати; fördern – сприяти; erfordern – вимагати; bieten – пропонувати; nutzen – використовувати<br><br>flexibilisieren – гнучко настроювати; flexibel – гнучкий<br><br>die Anpassungsfähigkeit – здатність адаптуватися; die Beweglichkeit – рухливість",Nomen StellenaziegeMechatroniker
Fliege,"die Fliege, Fliegen, муха<br><br>Eine Fliege sitzt auf dem Fenster. – Муха сидить на вікні.<br><br>fliegen – літати; landen – приземлятися; umschwirren – кружляти; schlagen – вбивати; beobachten – спостерігати<br><br>fliegen<br><br>das Insekt",7DasPräteritumDerUnregelmäßigenVerben Nomen
Fliegenklatsche,"die Fliegenklatsche, Fliegenklatschen, мухобійка<br><br>Reich mir bitte die Fliegenklatsche. – Передай мені, будь ласка, мухобійку.<br><br>die Fliege – муха; die Klatsche – битка<br><br>schlagen – бити; benutzen – використовувати; aufbewahren – зберігати; finden – знаходити; werfen – кидати<br><br>klatschen<br><br>",7DasPräteritumDerUnregelmäßigenVerben Nomen
Flugzeugabsturz,"der Flugzeugabsturz, Flugzeugabstürze, авіакатастрофа<br><br>Beim Flugzeugabsturz gab es keine Überlebenden. – Під час авіакатастрофи не було вижилих.<br><br>das Flugzeug – літак; der Absturz – катастрофа<br><br>ereignen – відбуватися; untersuchen – розслідувати; bergen – рятувати; überleben – виживати; analysieren – аналізувати<br><br>abstürzen<br><br>die Flugzeugkatastrophe, der Flugzeugunfall",Buch5 Folge2 Nomen
Folge,"die Folge, Folgen, серія<br><br>Die erste Folge der Serie ist spannend. – Перший епізод серіалу захоплюючий.<br><br>ansehen – дивитися; erscheinen – виходити; folgen – слідувати; beginnen – починатися; enden – закінчуватися<br><br>folgen<br><br>die Episode",Buch5 Folge2 Nomen
Formular,"das Formular, Formulare, бланк<br><br>Bitte füllen Sie das Formular aus. – Будь ласка, заповніть бланк.<br><br>ausfüllen – заповнювати; unterschreiben – підписувати; einreichen – подавати; absenden – відправляти; speichern – зберігати<br><br>formulieren<br><br>das Antragsformular, das Blatt",Nomen
Frage,"die Frage, Fragen, питання<br><br>Ich habe eine Frage. – У мене є питання.<br><br>klären – зʼясовувати; beantworten – відповідати; diskutieren – обговорювати; stellen – ставити<br><br>fragen<br><br>die Anfrage, die Fragestellung",Nomen
Fremde,"die Fremde, Fremden, незнайомець / незнайомка<br><br>Eine Fremde half mir. – Невідома мені особа допомогла мені.<br><br>begegnen – зустрічати; fürchten – боятися; warnen – попереджати; respektieren – поважати; sehen – бачити<br><br><br><br>der Unbekannte",7DasPräteritumDerUnregelmäßigenVerben Nomen
Freund,"der Freund, Freunde, друг<br><br>Mein Freund wohnt in Berlin. – Мій друг живе в Берліні.<br><br>treffen – зустрічати; kennen – знати; unterstützen – підтримувати; helfen – допомагати; streiten – сваритися<br><br>befreunden<br><br>der Kamerad, der Kumpel",13LeseverstehenZumPräteritum Nomen
Führerschein,"der Führerschein, Führerscheine, водійські права<br><br>Ich habe meinen Führerschein bestanden. – Я склав свої водійські права.<br><br>der Führer – водій; der Schein – посвідчення<br><br>beantragen – оформляти; verlängern – продовжувати; erneuern – оновлювати; verlieren – втрачати; vorzeigen – предʼявляти<br><br><br><br>der Fahrausweis",Nomen StellenaziegeMechatroniker
Fuß,"der Fuß, Füße, стопа<br><br>Mein Fuß tut weh. – Моя стопа болить.<br><br>laufen – бігати; stehen – стояти; verletzen – поранити; massieren – масажувати; spüren – відчувати<br><br>fußen<br><br>die Sohle",7DasPräteritumDerUnregelmäßigenVerben Nomen
Fußball,"der Fußball, Fußbälle, футбол<br><br>Ich spiele gern Fußball. – Я люблю грати в футбол.<br><br>der Fuß – стопа; der Ball – мʼяч<br><br>spielen – грати; schießen – бити; dribbeln – вести мʼяч; passen – пасувати; gewinnen – вигравати<br><br>kicken – кікати; dribbeln – вести мʼяч<br><br>das Spiel – гра; der Sport – спорт",13LeseverstehenZumPräteritum Nomen
Fußmarsch,"der Fußmarsch, Fußmärsche, піший марш<br><br>Wir gingen einen langen Fußmarsch. – Ми здійснили довгий піший марш.<br><br>der Fuß – стопа; der Marsch – марш<br><br>marschieren – марширувати; laufen – йти; begleiten – супроводжувати; beenden – завершувати; beginnen – починати<br><br>marschieren – марширувати<br><br>die Wanderung – похід; der Spaziergang – прогулянка",13LeseverstehenZumPräteritum Nomen
Galerie _Foto_,"die Galerie, Galerien, галерея<br><br>Ich besuche die Galerie oft. – Я часто відвідую галерею.<br><br><br><br>besuchen – відвідувати; eröffnen – відкривати; ausstellen – виставляти; kuratieren – курувати; organisieren – організовувати<br><br><br><br>das Museum – музей; das Ausstellungsgebäude – виставковий зал",Buch5 Folge2 Nomen
Garage,"die Garage, Garagen, гараж<br><br>Die Garage ist groß. – Гараж великий.<br><br><br><br>parken – паркувати; abstellen – ставити; mieten – орендувати; vermieten – здавати в оренду; reinigen – очищати<br><br><br><br>der Stellplatz – паркувальне місце; der Carport – навіс",7DasPräteritumDerUnregelmäßigenVerben Nomen
Garten,"der Garten, Gärten, сад<br><br>Ich arbeite im Garten. – Я працюю в саду.<br><br><br><br>gießen – поливати; pflanzen – садити; jäten – прополювати; pflegen – доглядати; ernten – збирати урожай<br><br>gärtnern – садити<br><br>die Grünanlage – зелена зона; der Hinterhof – двір",Nomen
Gast,"der Gast, Gäste, гість<br><br>Heute habe ich Gäste. – Сьогодні в мене гості.<br><br><br><br>einladen – запрошувати; begrüßen – вітати; unterhalten – розважати; verabschieden – прощатися; bedienen – обслуговувати<br><br>gastieren – бути гостем<br><br>der Besucher – відвідувач; die Besucherin – відвідувачка",7DasPräteritumDerUnregelmäßigenVerben Nomen
Geburtstagskuchen,"der Geburtstagskuchen, Geburtstagskuchen, торт на день народження<br><br>Meine Mutter backt einen Geburtstagskuchen. – Моя мама пече торт на день народження.<br><br>der Geburtstag – день народження; der Kuchen – торт<br><br>essen – їсти; backen – пекти; schneiden – різати; dekorieren – прикрашати; verschenken – дарувати<br><br>kuchen – пектися<br><br>Torte – торт; Kuchen – випічка",7DasPräteritumDerUnregelmäßigenVerben Nomen
Gegenstand,"der Gegenstand, Gegenstände, предмет; річ<br><br>Dieser Gegenstand gehört mir. – Цей предмет належить мені.<br><br>gegen – проти; stand – стан<br><br>berühren – торкатися; platzieren – розміщувати; verlieren – втрачати; identifizieren – ідентифікувати; präsentieren – демонструвати<br><br>verstehen – розуміти<br><br>Objekt – об’єкт; Artikel – виріб",Buch5 Folge2 Nomen
Geheimzahl,"die Geheimzahl, Geheimzahlen, таємний код; PIN<br><br>Gib deine Geheimzahl ein. – Введи свій таємний код.<br><br>geheim – таємний; Zahl – число<br><br>merken – запам’ятовувати; eingeben – вводити; ändern – змінювати; schützen – захищати; verifizieren – перевіряти<br><br>zählen – рахувати<br><br>PIN – PIN; Code – код",Nomen
Geld,"das Geld, Gelder, гроші<br><br>Ich habe kein Geld dabei. – У мене немає з собою грошей.<br><br><br><br>ausgeben – витрачати; sparen – заощаджувати; wechseln – міняти; verdienen – заробляти; leihen – позичати<br><br><br><br>Kasse – каса; Zahlungsmittel – засіб платежу",Nomen
Geldautomat,"der Geldautomat, Geldautomaten, банкомат<br><br>Der nächste Geldautomat ist um die Ecke. – Наступний банкомат за рогом.<br><br>das Geld – гроші; Automat – автомат<br><br>abheben – знімати; einzahlen – вносити; überprüfen – перевіряти; blockieren – блокувати; warten – обслуговувати<br><br>automaten – автоматизувати<br><br>Bankautomat – банкомат; Cashpoint – касовий пункт",Nomen
Gemüse,"das Gemüse, Gemüse, овочі<br><br>Ich esse gern frisches Gemüse. – Я люблю їсти свіжі овочі.<br><br>ge – Präfix; müse – овочі (старо)<br><br>kochen – готувати; schneiden – нарізати; schmecken – смакувати; kaufen – купувати; anbauen – вирощувати<br><br>gemüseln – готувати овочі<br><br>Obst – фрукти; Salat – салат",7DasPräteritumDerUnregelmäßigenVerben Nomen
Geschäft,"das Geschäft, Geschäfte, магазин; бізнес<br><br>Ich gehe in das Geschäft um die Ecke. – Я йду в магазин за рогом.<br><br>ge – Präfix; schäft – дія (застар.)<br><br>lernen – вчитися; führen – вести; eröffnen – відкривати; schließen – закривати; expandieren – розширювати<br><br>geschäftigen – займати<br><br>Laden – крамниця; Betrieb – підприємство",Nomen
Geschichte,"die Geschichte, Geschichten, історія; оповідання<br><br>Er erzählt eine spannende Geschichte. – Він розповідає захоплюючу історію.<br><br>ge – Präfix; schichte – шар, розповідь (застар.)<br><br>hören – слухати; erzählen – розповідати; schreiben – писати; lernen – вивчати; verstehen – розуміти<br><br>geschichteten – нашарувати<br><br>Erzählung – оповідання; Historie – історія",Nomen
Geschirr,"das Geschirr, , посуд<br><br>Bitte spüle das Geschirr. – Будь ласка, помий посуд.<br><br>ge – Präfix; schirr – посуд (застар.)<br><br>spülen – мити; abtrocknen – витирати; decken – накривати; verstauen – прибирати; benutzen – використовувати<br><br>geschirren – збирати посуд<br><br>Küchengeschirr – кухонний посуд; Essgeschirr – столовий посуд",7DasPräteritumDerUnregelmäßigenVerben Nomen
Geschwindigkeit,"die Geschwindigkeit, Geschwindigkeiten, швидкість<br><br>Die Geschwindigkeit ist auf 50 km/h begrenzt. – Швидкість обмежена до 50 км/год.<br><br>geschwind – швидкий; keit – суфікс<br><br>messen – вимірювати; regeln – регулювати; überschreiten – перевищувати; reduzieren – знижувати; erhöhen – збільшувати<br><br>geschwindigen – прискорювати<br><br>Tempo – темп; Schnelligkeit – швидкість",7DasPräteritumDerUnregelmäßigenVerben Nomen
Geschwister,"die Geschwister, Geschwister, брати й сестри<br><br>Meine Geschwister und ich spielen Karten. – Мої брати й сестри грають у карти.<br><br><br><br>aufwachsen – виростати; kooperieren – співпрацювати; konkurrieren – конкурувати; trösten – втішати; necken – дражнити<br><br><br><br>die Brüder und Schwestern – брати та сестри; die Verwandten – родичі",13LeseverstehenZumPräteritum Nomen
Gesicht,"das Gesicht, Gesichter, обличчя<br><br>Das Gesicht lacht vor Freude. – Обличчя сміється від радості.<br><br><br><br>verziehen – корчити; waschen – мити; schminken – гримувати; bedecken – покривати; massieren – масажувати<br><br><br><br>das Antlitz – лице; die Miene – вираз обличчя",7DasPräteritumDerUnregelmäßigenVerben Nomen
Gespräch,"das Gespräch, Gespräche, розмова<br><br>Unser Gespräch war sehr informativ. – Наша розмова була дуже інформативною.<br><br><br><br>unterbrechen – переривати; fortsetzen – продовжувати; beenden – завершувати; aufzeichnen – записувати; moderieren – модерувати<br><br>besprechen – обговорювати; ansprechen – зачіпати тему<br><br>die Unterhaltung – бесіда; die Konversation – розмова",Nomen
Gesundheit,"die Gesundheit, Gesundheiten, здоров’я<br><br>Gesundheit ist das höchste Gut. – Здоров’я ‒ найвище благо.<br><br><br><br>bewahren – зберігати; stärken – зміцнювати; fördern – підтримувати; gefährden – наражати на небезпеку; verbessern – покращувати<br><br>gesunden – одужувати<br><br>das Wohlbefinden – самопочуття",Nomen
Gewinn,"der Gewinn, Gewinne, прибуток<br><br>Die Firma erzielte hohen Gewinn. – Компанія отримала великий прибуток.<br><br><br><br>erwirtschaften – заробляти; maximieren – максимізувати; reinvestieren – реінвестувати; versteuern – оподатковувати; ausschütten – виплачувати<br><br>gewinnen – вигравати<br><br>der Profit – прибуток; der Ertrag – дохід",Nomen
Girokonto,"das Girokonto, Girokonten, поточний рахунок<br><br>Ich eröffne ein neues Girokonto. – Я відкриваю новий поточний рахунок.<br><br>das Giro – розрахунковий; das Konto – рахунок<br><br>einrichten – відкривати; verwalten – керувати; überziehen – перевищувати; aufladen – поповнювати; sperren – блокувати<br><br><br><br>das Kontokorrent – поточний рахунок; das Bankkonto – банківський рахунок",Nomen
Glas,"das Glas, Gläser, склянка / скло<br><br>Er füllte das Glas mit Wasser. – Він наповнив склянку водою.<br><br><br><br>füllen – наповнювати; zerbrechen – розбивати; anstoßen – цокатися; einschenken – наливати; reinigen – очищати<br><br>verglasen – засклювати<br><br>der Becher – стакан; die Glasscheibe – скляна панель",Nomen
Glockenschlag,"der Glockenschlag, Glockenschläge, удар дзвону<br><br>Mit dem ersten Glockenschlag begann die Messe. – З першим ударом дзвону почалася меса.<br><br>die Glocke – дзвін; der Schlag – удар<br><br>erklingen – задзвонити; läuten – дзвонити; verkünden – сповіщати; zählen – відбивати; hallen – лунати<br><br>glockenschlagen – бити у дзвін<br><br>das Läuten – дзвін; der Klang – звук",Nomen
Gott,"der Gott, Götter, Бог<br><br>Viele Menschen glauben an einen Gott. – Багато людей вірять у Бога.<br><br><br><br>anbeten – поклонятися; preisen – прославляти; segnen – благословляти; danken – дякувати; verherrlichen – возвеличувати<br><br>vergöttern – обожнювати<br><br>die Gottheit – божество; der Schöpfer – Творець",7DasPräteritumDerUnregelmäßigenVerben Nomen
Gruppe,"die Gruppe, Gruppen, група<br><br>Die Gruppe arbeitet effizient zusammen. – Група ефективно працює разом.<br><br><br><br>bilden – формувати; leiten – очолювати; sich anschließen – приєднуватися; koordinieren – координувати; teilen – ділити<br><br>gruppieren – групувати<br><br>die Gemeinschaft – спільнота; das Team – команда",Nomen
Grenze,"die Grenze, Grenzen, кордон / межа<br><br>Wir überquerten die Grenze bei Nacht. – Ми перетнули кордон вночі.<br><br><br><br>überqueren – перетинати; markieren – позначати; bewachen – охороняти; erweitern – розширювати; sichern – забезпечувати<br><br>begrenzen – обмежувати<br><br>die Grenzlinie – лінія кордону; das Limit – межа",Nomen
Großmutter,"die Großmutter, Großmütter, бабуся<br><br>Meine Großmutter erzählt gern Geschichten. – Моя бабуся любить розповідати історії.<br><br>die Mutter – мати; groß – великий<br><br>stricken – в’язати; backen – пекти; umarmen – обіймати; verwöhnen – балувати; hüten – доглядати<br><br>großmütterlich behandeln – ставитися по-бабусиному<br><br>die Oma – бабуся; die Großmama – бабця",7DasPräteritumDerUnregelmäßigenVerben Nomen
Hafen,"der Hafen, Häfen, порт<br><br>Im Hafen liegen viele Schiffe. – У порту стоїть багато кораблів.<br><br><br><br>anlegen – пришвартовуватися; auslaufen – виходити в море; beladen – завантажувати; entladen – розвантажувати; vertäuen – пришвартовувати; docken – ставати в док<br><br>hafen – давати притулок<br><br>der Port – порт; die Marina – марина",Nomen
Haus,"das Haus, Häuser, будинок<br><br>Unser Haus ist alt. – Наш будинок старий.<br><br><br><br>bewohnen – населяти; bauen – будувати; renovieren – ремонтувати; verkleinern – зменшувати; einrichten – облаштовувати<br><br>hausen – жити в поганих умовах<br><br>die Wohnstätte – житло; das Gebäude – будівля",Nomen
Hausmeister,"der Hausmeister, Hausmeister, двірник<br><br>Der Hausmeister repariert die Heizung. – Двірник ремонтує опалення.<br><br>das Haus – будинок; der Meister – майстер<br><br>instandhalten – підтримувати; reparieren – ремонтувати; streuen – посипати; kontrollieren – перевіряти; kehren – підмітати<br><br>hausmeistern – доглядати будинок<br><br>der Hauswart – двірник; der Gebäudeverwalter – адміністратор будівлі",KontakteInformationenZurPerson
Haustür,"die Haustür, Haustüren, вхідні двері<br><br>Er schloss die Haustür leise. – Він тихо зачинив вхідні двері.<br><br>das Haus – будинок; die Tür – двері<br><br>abschließen – зачиняти; aufsperren – відчиняти; anklopfen – стукати; klingeln – дзвонити; eintreten – входити<br><br><br><br>der Eingang – вхід; die Pforte – брама",Nomen
