Front,Back,Tags
abnehmen,"nehme ab - nimmst ab - nimmt ab - nehmen ab - nehmt ab - nehmen ab<br><br>nahm ab - nahmst ab - nahm ab - nahmen ab - nahmt ab - nahmen ab<br><br>man hat abgenommen<br><br>D+A<br><br>схуднути; знімати (напр. телефонний слухавку)<br><br>nehme an Gewicht ab. = Я втрачаю вагу.<br><br><br><br>zunehmen - товстіти<br>abnehmen (Hörer) - знімати слухавку",Verb VerbMitDativUndAkkusativObjekt
abreißen,"reiße ab - reißt ab - reißt ab - reißen ab - reißt ab - reißen ab<br><br>riss ab - rissest ab - riss ab - rissen ab - risst ab - rissen ab<br><br>man hat abgerissen<br><br><br><br>зруйнувати; відривати<br><br>Man hat das alte Haus abgerissen. = Старий будинок знесли.<br><br><br><br>abreißen - зривати<br>abrupfen - виривати",7DasPräteritumDerUnregelmäßigenVerben Verb
absagen,"sage ab - sagst ab - sagt ab - sagen ab - sagt ab - sagen ab<br><br>sagte ab - sagtest ab - sagte ab - sagten ab - sagtet ab - sagten ab<br><br>man hat abgesagt<br><br><br><br>скасовувати<br><br>Er hat den Termin abgesagt. = Він скасував зустріч.<br><br><br><br>zusagen - погоджуватися<br>absagen - відмовляти",Verb Work
abschließen,"schließe ab - schließt ab - schließt ab - schließen ab - schließt ab - schließen ab<br><br>schloss ab - schlossest ab - schloss ab - schlossen ab - schlosst ab - schlossen ab<br><br>man hat abgeschlossen<br><br><br><br>закінчувати; зачиняти<br><br>Wir schließen das Kapitel ab. = Ми закінчуємо розділ.<br><br><br><br>abschließen - запечатувати<br>ab-, zuschließen - зачиняти",Verb
absolvieren,"absolviere - absolvierst - absolviert - absolvieren - absolviert - absolvieren<br><br>absolvierte - absolviertest - absolvierte - absolvierten - absolviertet - absolvierten<br><br>man hat absolviert<br><br><br><br>завершувати (курс)<br><br>Er absolviert nächste Woche das Seminar. = Він закінчить семінар наступного тижня.<br><br><br><br>teilnehmen - брати участь<br>abschließen - завершувати",StellenaziegeMechatroniker Verb
absperren,"sperre ab - sperrst ab - sperrt ab - sperren ab - sperrt ab - sperren ab<br><br>sperrte ab - sperrtest ab - sperrte ab - sperrten ab - sperrtet ab - sperrten ab<br><br>man hat abgesperrt<br><br><br><br>зачиняти (дорогу)<br><br>Die Polizei sperrt die Straße ab. = Поліція перекриває вулицю.<br><br><br><br>sperren - блокувати<br>absperren - обгороджувати",Verb
abspülen,"spüle ab - spülst ab - spült ab - spülen ab - spült ab - spülen ab<br><br>spülte ab - spültest ab - spülte ab - spülten ab - spültet ab - spülten ab<br><br>man hat abgespült<br><br><br><br>мити посуд<br><br>spüle das Geschirr ab. = Я мию посуд.<br><br><br><br>abwaschen - мити<br>spülen - прополіскувати",Verb
abwimmeln,"wimmele ab - wimmelst ab - wimmelt ab - wimmeln ab - wimmelt ab - wimmeln ab<br><br>wimmelte ab - wimmeltest ab - wimmelte ab - wimmelten ab - wimmeltet ab - wimmelten ab<br><br>man hat abgewimmelt<br><br><br><br>відбиватися (від нав’язливих), відмовлятися<br><br>wimmele lästige Anrufer ab. = Я відбиваюся від настирливих дзвінків.<br><br><br><br>abwimmeln - відбиватися<br>abwehren - відбивати",Everyday-Life Verb
achten,"achte - achtest - achtet - achten - achtet - achten<br><br>achtete - achtetest - achtete - achteten - achtetet - achteten<br><br>man hat geachtet<br><br><br><br>уважати<br><br>Achten Sie bitte auf den Verkehr. = Будь ласка, зверніть увагу на рух.<br><br><br><br>beachten - звертати увагу<br>verachten - зневажати",Verb
achten auf,"achte auf - achtest auf - achtet auf - achten auf - achtet auf - achten auf<br><br>achtete auf - achtetest auf - achtete auf - achteten auf - achtetet auf - achteten auf<br><br>man hat auf geachtet<br><br>A<br><br>уважно стежити за чимось<br><br>achte auf meine Gesundheit. = Я слідкую за своїм здоров’ям.<br><br><br><br>achten - уважати<br>aufpassen auf - доглядати за",Verb VerbMitFestenPraposition
anbaggern,"baggere an - baggerst an - baggert an - baggern an - baggert an - baggern an<br><br>baggerte an - baggertest an - baggerte an - baggerten an - baggertet an - baggerten an<br><br>man hat angebaggert<br><br><br><br>залицятися (розм.)<br><br>Er baggert ständig an Mädchen an. = Він постійно заграє з дівчатами.<br><br><br><br>anquatschen - загравати<br>anmachen - підкочувати",Slang Verb
anbieten,"biete an - bietest an - bietet an - bieten an - bietet an - bieten an<br><br>bot an - botst an - bot an - boten an - botet an - boten an<br><br>man hat angeboten<br><br>D+A<br><br>пропонувати<br><br>biete dir meine Hilfe an. = Я пропоную тобі свою допомогу.<br><br><br><br>anbieten - пропонувати<br>anpreisen - рекламувати",Verb VerbMitDativUndAkkusativObjekt
anfangen,"fange an - fängst an - fängt an - fangen an - fangt an - fangen an<br><br>fing an - fingst an - fing an - fingen an - fingt an - fingen an<br><br>man hat angefangen<br><br><br><br>починати<br><br>fange jetzt mit der Arbeit an. = Я починаю зараз роботу.<br><br><br><br>beginnen - починати<br>anfangen mit - починати з",Verb
anfangen mit,"fange mit an - fängst mit an - fängt mit an - fangen mit an - fangt mit an - fangen mit an<br><br>fing mit an - fingst mit an - fing mit an - fingen mit an - fingt mit an - fingen mit an<br><br>man hat angefangen mit<br><br><br><br>починати з<br><br>Wir fangen mit Lektion 1 an. = Ми починаємо з уроку 1.<br><br><br><br>anfangen - починати<br>beginnen mit - починати з",Verb VerbMitFestenPraposition
angeben,"gebe an - gibst an - gibt an - geben an - gebt an - geben an<br><br>gab an - gabst an - gab an - gaben an - gabt an - gaben an<br><br>man hat angegeben<br><br><br><br>вказувати; хвалитися (slang)<br><br>Er gibt mit seinem neuen Auto an. = Він хвалиться своїм новим авто.<br><br><br><br>anführen - вказувати<br>prahlen - хвалитися",7DasPräteritumDerUnregelmäßigenVerben Verb
ankreuzen,"kreuze an - kreuzt an - kreuzt an - kreuzen an - kreuzt an - kreuzen an<br><br>kreuzte an - kreuztest an - kreuzte an - kreuzten an - kreuztet an - kreuzten an<br><br>man hat angekreuzt<br><br><br><br>позначати хрестиком<br><br>Kreuzen Sie alle richtigen Antworten an. = Позначте всі правильні відповіді.<br><br><br><br>markieren - відмічати<br>auswählen - вибирати",Verb
anmachen,"mache an - machst an - macht an - machen an - macht an - machen an<br><br>machte an - machtest an - machte an - machten an - machtet an - machten an<br><br>man hat angemacht<br><br><br><br>увімкнути; загравати (slang)<br><br>Er macht das Licht an. = Він вмикає світло.<br><br><br><br>anschalten - вмикати<br>anmachen - підкотувати",its-a-match Verb
annehmen,"nehme an - nimmst an - nimmt an - nehmen an - nehmt an - nehmen an<br><br>nahm an - nahmst an - nahm an - nahmen an - nahmt an - nahmen an<br><br>man hat angenommen<br><br>D+A<br><br>приймати<br><br>nehme das Geschenk an. = Я приймаю подарунок.<br><br><br><br>ablehnen - відхиляти<br>annehmen - погоджуватися",Verb VerbMitDativUndAkkusativObjekt
ansprechen,"spreche an - sprichst an - spricht an - sprechen an - sprecht an - sprechen an<br><br>sprach an - sprachst an - sprach an - sprachen an - sprecht an - sprachen an<br><br>man hat angesprochen<br><br>D+A<br><br>звертатися до кого-небудь<br><br>spreche ihn beim Namen an. = Я звертаюся до нього по імені.<br><br><br><br>ansprechen - звертатися<br>anreden - вітати",KontakteInformationenZurPerson Verb
antworten,"antworte - antwortest - antwortet - antworten - antwortet - antworten<br><br>antwortete - antwortetest - antwortete - antworteten - antwortetet - antworteten<br><br>man hat geantwortet<br><br>D+A<br><br>відповідати<br><br>Sie antwortet sofort. = Вона відповідає одразу.<br><br><br><br>beantworten - відповідати (когось)<br>antworten auf - відповідати на",Verb VerbMitDativUndAkkusativObjekt
antworten auf,"antworte auf - antwortest auf - antwortet auf - antworten auf - antwortet auf - antworten auf<br><br>antwortete auf - antwortetest auf - antwortete auf - antworteten auf - antwortetet auf - antworteten auf<br><br>man hat auf geantwortet<br><br>D+A<br><br>відповідати на<br><br>antworte auf deine E-Mail. = Я відповідаю на твоє електронне повідомлення.<br><br><br><br>antworten - відповідати<br>reagieren auf - реагувати на",Verb VerbMitFestenPraposition
anzeigen,"zeige an - zeigst an - zeigt an - zeigen an - zeigt an - zeigen an<br><br>zeigte an - zeigtest an - zeigte an - zeigten an - zeigtet an - zeigten an<br><br>man hat angezeigt<br><br><br><br>заявляти; показувати<br><br>Er hat den Dieb angezeigt. = Він заявив про злодія в поліцію.<br><br><br><br>melden - реєструвати<br>anzeigen - інформувати",7DasPräteritumDerUnregelmäßigenVerben Verb
anzünden,"zünde an - zündest an - zündet an - zünden an - zündet an - zünden an<br><br>zündete an - zündetest an - zündete an - zündeten an - zündetet an - zündeten an<br><br>man hat angezündet<br><br>D+A<br><br>запалювати<br><br>zünde die Kerze an. = Я запалюю свічку.<br><br><br><br>auszünden - гасити<br>anzünden - підпалювати",Verb VerbMitDativUndAkkusativObjekt
arbeiten,"arbeite - arbeitest - arbeitet - arbeiten - arbeitet - arbeiten<br><br>arbeitete - arbeitetest - arbeitete - arbeiteten - arbeitetet - arbeiteten<br><br>man hat gearbeitet<br><br><br><br>працювати<br><br>arbeite heute bis 18 Uhr. = Я працюю сьогодні до 18 години.<br><br><br><br>jobben - підробляти<br>arbeiten - трудитися",Verb
aufbauen,"baue auf - baust auf - baut auf - bauen auf - baut auf - bauen auf<br><br>baute auf - bautest auf - baute auf - bauten auf - bautet auf - bauten auf<br><br>man hat aufgebaut<br><br><br><br>будувати; створювати<br><br>Er baut ein Haus auf. = Він будує будинок.<br><br><br><br>aufbauen - монтувати<br>einrichten - встановлювати",Gym Verb
auffallen,"falle auf - fällst auf - fällt auf - fallen auf - fallt auf - fallen auf<br><br>fiel auf - fielst auf - fiel auf - fielen auf - fielt auf - fielen auf<br><br>man ist aufgefallen<br><br>D+A<br><br>привертати увагу<br><br>Mir fällt sein Name nicht auf. = Його ім’я мені не впадає в око.<br><br><br><br>auffallen - кидатися в очі<br>bemerkbar sein - бути помітним",Verb VerbMitDativUndAkkusativObjekt
aufgeben,"gebe auf - gibst auf - gibt auf - geben auf - gebt auf - geben auf<br><br>gab auf - gabst auf - gab auf - gaben auf - gabt auf - gaben auf<br><br>man hat aufgegeben<br><br><br><br>здаватися; відправляти (посилку)<br><br>gebe nicht auf. = Я не здаюся.<br><br><br><br>aufgeben - відмовлятися<br>einliefern - відправляти",leech Must-have-set Verb
aufhalten,"halte auf - hältst auf - hält auf - halten auf - haltet auf - halten auf<br><br>hielt auf - hieltst auf - hielt auf - hielten auf - hieltet auf - hielten auf<br><br>man hat aufgehalten<br><br><br><br>затримувати<br><br>Er hält den Bus aufzuhalten. = Він затримує автобус.",Everyday-Life Verb
aufhängen,"hänge auf - hängst auf - hängt auf - hängen auf - hängt auf - hängen auf<br><br>hängte auf - hängtest auf - hängte auf - hängten auf - hängtet auf - hängten auf<br><br>man hat aufgehängt<br><br><br><br>вішати<br><br>hänge das Bild auf. = Я вішую картину.<br><br><br><br>abhängen - тусуватися<br>aufhängen - розвішувати",Verb
aufheben,"hebe auf - hebst auf - hebt auf - heben auf - hebt auf - heben auf<br><br>hob auf - hobst auf - hob auf - hoben auf - hobt auf - hoben auf<br><br>man hat aufgehoben<br><br>D+A<br><br>піднімати; скасовувати (правило)<br><br>hebe den Zettel auf. = Я підбираю папірець.<br><br><br><br>aufheben - піднімати<br>aufbewahren - зберігати",leech Verb VerbMitDativUndAkkusativObjekt
aufhören,"höre auf - hörst auf - hört auf - hören auf - hört auf - hören auf<br><br>hörte auf - hörtest auf - hörte auf - hörten auf - hörtet auf - hörten auf<br><br>man hat aufgehört<br><br><br><br>припиняти<br><br>Er hört um 22 Uhr auf. = Він припиняє о 22 годині.<br><br><br><br>anfangen - починати<br>aufhören mit - припиняти з",Gym Verb
aufhören mit,"höre mit auf - hörst mit auf - hört mit auf - hören mit auf - hört mit auf - hören mit auf<br><br>hörte mit auf - hörtest mit auf - hörte mit auf - hörten mit auf - hörtet mit auf - hörten mit auf<br><br>man hat mit aufgehört<br><br><br><br>припиняти з<br><br>höre mit dem Rauchen auf. = Я кидаю курити.<br><br><br><br>aufhören - припиняти<br>aufgeben - відмовлятися",Verb VerbMitFestenPraposition
aufmachen,"mache auf - machst auf - macht auf - machen auf - macht auf - machen auf<br><br>machte auf - machtest auf - machte auf - machten auf - machtet auf - machten auf<br><br>man hat aufgemacht<br><br><br><br>відкривати<br><br>Sie macht das Fenster auf. = Вона відкриває вікно.<br><br><br><br>öffnen - відкривати<br>zumachen - закривати",its-a-match Verb
aufnehmen,"nehme auf - nimmst auf - nimmt auf - nehmen auf - nehmt auf - nehmen auf<br><br>nahm auf - nahmst auf - nahm auf - nahmen auf - nahmt auf - nahmen auf<br><br>man hat aufgenommen<br><br>D+A<br><br>записувати; приймати (гість)<br><br>Wir nehmen Gäste auf. = Ми приймаємо гостей.<br><br><br><br>aufnehmen - записувати<br>empfangen - приймати",Verb VerbMitDativUndAkkusativObjekt
aufpassen,"passe auf - passt auf - passt auf - passen auf - passt auf - passen auf<br><br>passte auf - passtest auf - passte auf - passten auf - passtet auf - passten auf<br><br>man hat aufgepasst<br><br><br><br>доглядати; бути уважним<br><br>Pass gut auf! = Будь уважний!<br><br><br><br>achten auf - звертати увагу<br>aufpassen auf - доглядати за",Verb
aufpassen auf,"passe auf auf - passt auf auf - passt auf auf - passen auf auf - passt auf auf - passen auf auf<br><br>passte auf auf - passtest auf auf - passte auf auf - passten auf auf - passtet auf auf - passten auf auf<br><br>man hat auf aufgepasst<br><br><br><br>стежити за<br><br>passe auf die Kinder auf. = Я стежу за дітьми.<br><br><br><br>achten auf - звертати увагу<br>betreuen - доглядати",Verb VerbMitFestenPraposition
aufräumen,"räume auf - räumst auf - räumt auf - räumen auf - räumt auf - räumen auf<br><br>räumte auf - räumtest auf - räumte auf - räumten auf - räumtet auf - räumten auf<br><br>man hat aufgeräumt<br><br><br><br>прибирати<br><br>Wir räumen das Zimmer auf. = Ми прибираємо кімнату.<br><br><br><br>aufräumen - прибирати<br>ordnen - впорядковувати",Buch5 Folge2 Verb
aufstehen,"stehe auf - stehst auf - steht auf - stehen auf - steht auf - stehen auf<br><br>stand auf - standst auf - stand auf - standen auf - standet auf - standen auf<br><br>man ist aufgestanden<br><br><br><br>вставати<br><br>stehe um 7 Uhr auf. = Я встаю о 7 годині.<br><br><br><br>aufstehen - прокидатися<br>aufwachen - пробуджуватися",Mainstream Verb
auftauchen,"tauche auf - tauchst auf - taucht auf - tauchen auf - taucht auf - tauchen auf<br><br>tauchte auf - tauchtest auf - tauchte auf - tauchten auf - tauchtet auf - tauchten auf<br><br>man ist aufgetaucht<br><br><br><br>з’являтися<br><br>Plötzltauchte er auf. = Раптом він з’явився.<br><br><br><br>erscheinen - з’являтися<br>auftauchen - спливати",Slang Verb
aufwachen,"wache auf - wachst auf - wacht auf - wachen auf - wacht auf - wachen auf<br><br>wachte auf - wachtest auf - wachte auf - wachten auf - wachtet auf - wachten auf<br><br>man ist aufgewacht<br><br><br><br>прокидатися<br><br>wache um 6 Uhr auf. = Я прокидаюся о 6 годині.<br><br><br><br>aufwachen - прокидатися<br>aufstehen - вставати",Buch5 Folge2 Verb
ausarbeiten,"arbeite aus - arbeitest aus - arbeitet aus - arbeiten aus - arbeitet aus - arbeiten aus<br><br>arbeitete aus - arbeitetest aus - arbeitete aus - arbeiteten aus - arbeitetet aus - arbeiteten aus<br><br>man hat ausgearbeitet<br><br><br><br>розробляти<br><br>Wir arbeiten den Plan aus. = Ми розробляємо план.<br><br><br><br>erarbeiten - розробляти<br>ausarbeiten - опрацьовувати",Verb Work
ausdenken,"denke aus - denkst aus - denkt aus - denken aus - denkt aus - denken aus<br><br>dachte aus - dachtest aus - dachte aus - dachten aus - dachtet aus - dachten aus<br><br>man hat ausgedacht<br><br><br><br>вигадувати<br><br>Er denkt eine Geschichte aus. = Він вигадує історію.<br><br><br><br>erfinden - винаходити<br>auserdenken - придумувати",Must-have-set Verb
ausfüllen,"fülle aus - füllst aus - füllt aus - füllen aus - füllt aus - füllen aus<br><br>füllte aus - fülltest aus - füllte aus - füllten aus - fülltet aus - füllten aus<br><br>man hat ausgefüllt<br><br><br><br>заповнювати (формуляр)<br><br>Füllen Sie bitte das Formular aus. = Будь ласка, заповніть бланк.<br><br><br><br>ausfüllen - заповнювати<br>eintragen - вносити",Verb
ausgeben für,"gebe aus für - gibst aus für - gibt aus für - geben aus für - gebt aus für - geben aus für<br><br>gab aus für - gabst aus für - gab aus für - gaben aus für - gabt aus für - gaben aus für<br><br>man hat ausgegeben für<br><br>A<br><br>витрачати на<br><br>gebe viel Geld für Bücher aus. = Я витрачаю багато грошей на книги.<br><br><br><br>ausgeben - витрачати<br>ausgeben für - витрачати на",leech Verb VerbMitFestenPraposition
ausgehen,"gehe aus - gehst aus - geht aus - gehen aus - geht aus - gehen aus<br><br>ging aus - gingst aus - ging aus - gingen aus - gingt aus - gingen aus<br><br>man ist ausgegangen<br><br><br><br>виходити (розважатися)<br><br>Wir gehen heute Abend aus. = Ми йдемо сьогодні ввечері розважатися.<br><br><br><br>ausgehen - розважатися<br>hinausgehen - виходити",Buch5 Folge2 Verb
ausgehen mit,"gehe mit aus - gehst mit aus - geht mit aus - gehen mit aus - geht mit aus - gehen mit aus<br><br>ging mit aus - gingst mit aus - ging mit aus - gingen mit aus - gingt mit aus - gingen mit aus<br><br>man ist mit ausgegangen<br><br><br><br>виходити з кимось (на побачення)<br><br>gehe mit ihr aus. = Я виходжу з нею погуляти.<br><br><br><br>ausgehen - виходити<br>ausgehen mit - гуляти з",its-a-match Verb
ausreichen,"reiche aus - reichst aus - reicht aus - reichen aus - reicht aus - reichen aus<br><br>reichte aus - reichtest aus - reichte aus - reichten aus - reichtet aus - reichten aus<br><br>man hat ausgereicht<br><br><br><br>достатньо бути<br><br>Das Geld reicht aus. = Грошей достатньо.<br><br><br><br>genügen - вистачати<br>ausreichen - задовольняти",Verb
ausschalten,"schalte aus - schaltest aus - schaltet aus - schalten aus - schaltet aus - schalten aus<br><br>schaltete aus - schaltestet aus - schaltete aus - schalteten aus - schaltetet aus - schalteten aus<br><br>man hat ausgeschaltet<br><br><br><br>вимикати<br><br>Schalte bitte das Licht aus. = Будь ласка, вимкни світло.<br><br><br><br>ausmachen - вимикати<br>einstellen - налаштовувати",Mainstream Verb
aussehen,"sehe aus - siehst aus - sieht aus - sehen aus - seht aus - sehen aus<br><br>sah aus - sahst aus - sah aus - sahen aus - saht aus - sahen aus<br><br>man hat ausgesehen<br><br><br><br>виглядати<br><br>Du siehst müde aus. = Ти виглядаєш втомленим.<br><br><br><br>wirken - справляти враження<br>aussehen - виглядати",Verb
aussprechen,"spreche aus - sprichst aus - spricht aus - sprechen aus - sprecht aus - sprechen aus<br><br>sprach aus - sprachst aus - sprach aus - sprachen aus - sprecht aus - sprachen aus<br><br>man hat ausgesprochen<br><br>D+A<br><br>вимовляти; висловлювати<br><br>Sie spricht ihre Meinung aus. = Вона висловлює свою думку.<br><br><br><br>aussprechen - промовляти<br>ausdrücken - виражати",Verb VerbMitDativUndAkkusativObjekt
aussteigen,"steige aus - steigst aus - steigt aus - steigen aus - steigt aus - steigen aus<br><br>stieg aus - stiegst aus - stieg aus - stiegen aus - stiegt aus - stiegen aus<br><br>man ist ausgestiegen<br><br><br><br>виходити (з транспорту)<br><br>Wir steigen hier aus. = Ми виходимо тут.<br><br><br><br>einsteigen - заходити (в транспорт)<br>aussteigen - виходити",Mainstream Verb
aussuchen,"suche aus - suchst aus - sucht aus - suchen aus - sucht aus - suchen aus<br><br>suchte aus - suchtest aus - suchte aus - suchten aus - suchtet aus - suchten aus<br><br>man hat ausgesucht<br><br>D+A<br><br>вибирати<br><br>suche mir ein Buch aus. = Я обираю книжку.<br><br><br><br>aussuchen - вибирати<br>auswählen - обирати",leech Verb VerbMitDativUndAkkusativObjekt
auswandern,"wandere aus - wanderst aus - wandert aus - wandern aus - wandert aus - wandern aus<br><br>wanderte aus - wandertest aus - wanderte aus - wanderten aus - wandertet aus - wanderten aus<br><br>man ist ausgewandert<br><br><br><br>емігрувати<br><br>Er wandert in die Schweiz aus. = Він емігрує до Швейцарії.<br><br><br><br>einwandern - іммігрувати<br>auswandern - емігрувати",Buch5 Folge2 Verb
ausweiten,"weite aus - weitest aus - weitet aus - weiten aus - weitet aus - weiten aus<br><br>weitete aus - weitetest aus - weitete aus - weiteten aus - weitetet aus - weiteten aus<br><br>man hat ausgeweitet<br><br><br><br>розширювати<br><br>Der Konflikt weitet saus. = Конфлікт розширюється.<br><br><br><br>ausdehnen - розширювати<br>erweitern - розширювати",Verb
ausweichen,"weiche - weichst - weicht - weichen - weicht - weichen<br><br>w- wichst - w- wichen - wicht - wichen<br><br>man ist ausgewichen<br><br>D+A<br><br>уникати<br><br>weiche dem Hindernis aus. = Я уникаю перешкоди.<br><br>weichen – відступати<br><br>ausweichen – уникати<br>ausweichen vor – уникати (кого/чого)<br><br>vermeiden – уникати<br>entkommen – вислизати",Verb VerbMitDativUndAkkusativObjekt
auszahlen,"zahle aus - zahlst aus - zahlt aus - zahlen aus - zahlt aus - zahlen aus<br><br>zahlte aus - zahltest aus - zahlte aus - zahlten aus - zahltet aus - zahlten aus<br><br>man hat ausgezahlt<br><br>A<br><br>виплачувати<br><br>Die Bank zahlt den Betrag aus. = Банк виплачує суму.<br><br>zahlen – платити<br><br>einzahlen – вносити<br>auszahlen – виплачувати<br><br>vergüten – відшкодовувати",Verb
ausziehen,"ziehe aus - ziehst aus - zieht aus - ziehen aus - zieht aus - ziehen aus<br><br>zog aus - zogst aus - zog aus - zogen aus - zogen aus - zogen aus<br><br>man ist ausgezogen<br><br>D+A<br><br>знімати; виїжджати<br><br>Wir ziehen morgen aus. = Ми виїжджаємо завтра.<br><br>ziehen – тягти<br><br>einziehen – в'їжджати<br>ausziehen – виїжджати/знімати<br><br>umziehen – переїжджати",Verb VerbMitDativUndAkkusativObjekt
backen,"backe - bäckst - bäckt - backen - backt - backen<br><br>backte - backtest - backte - backten - backtet - backten<br><br>man hat gebacken<br><br>A<br><br>пекти<br><br>backe einen Kuchen. = Я пеку торт.<br><br>backen – пекти<br><br>einbacken – запікати<br>abbacken – випікати до кінця<br><br>braten – смажити",A2 StarkeVerb Verb
buchen,"buche - buchst - bucht - buchen - bucht - buchen<br><br>buchte - buchtest - buchte - buchten - buchtet - buchten<br><br>man hat gebucht<br><br>A<br><br>бронювати<br><br>buche ein Hotel. = Я бронюю готель.<br><br>buchen – бронювати<br><br>umbuchen – переписувати бронювання<br>abbuchen – списувати<br><br>reservieren – резервувати",Verb
bügeln,"bügle - bügelst - bügelt - bügeln - bügelt - bügeln<br><br>bügelte - bügeltest - bügelte - bügelten - bügeltet - bügelten<br><br>man hat gebügelt<br><br>A<br><br>прасувати<br><br>bügle das Hemd. = Я прасую сорочку.<br><br>bügeln – прасувати<br><br>anbügeln – пригладжувати<br><br>glätten – вирівнювати",Verb
brauchen,"brauche - brauchst - braucht - brauchen - braucht - brauchen<br><br>brauchte - brauchtest - brauchte - brauchten - brauchtet - brauchten<br><br>man hat gebraucht<br><br>A<br><br>потребувати<br><br>brauche Hilfe. = Мені потрібна допомога.<br><br>brauchen – потребувати<br><br>benötigen – потребувати",Verb
bringen,"bringe - bringst - bringt - bringen - bringt - bringen<br><br>brachte - brachtest - brachte - brachten - brachtet - brachten<br><br>man hat gebracht<br><br>A<br><br>приносити<br><br>bringe dir das Buch. = Я приношу тобі книгу.<br><br>bringen – приносити<br><br>mitbringen – приносити з собою<br>wegbringen – відносити<br><br>liefern – доставляти",A1 StarkeVerb Verb
brechen,"breche - brichst - bricht - brechen - brecht - brechen<br><br>brach - brachst - brach - brachen - bracht - brachen<br><br>man hat gebrochen<br><br>A<br><br>ломати<br><br>breche das Glas. = Я ламаю скло.<br><br><br><br>zerbrechen – розбивати<br>kaputt machen – ламати",B1 StarkeVerb Verb
