prüfen;A<br><br>prüft<br>hat geprüft<br>prüfte<br><br>Der Angestellte prüft den Ausweis.<br><br>перевіряти<br><br>Співробітник перевіряє посвідчення.
verlieren;A<br><br>verliert<br>hat verloren<br>verlor<br><br>Ich habe meine EC-Karte verloren.<br><br>втрачати<br><br>Я втратив свою картку.
helfen;D<br><br>hilft<br>hat geholfen<br>half<br><br>Können Sie mir helfen?<br><br>допомагати<br><br>Чи можете ви мені допомогти?
kontrollieren;A<br><br>kontrolliert<br>hat kontrolliert<br>kontrollierte<br><br>Die Werkstatt kontrolliert die Bremsen.<br><br>перевіряти<br><br>Майстерня перевіряє гальма.
wechseln;A<br><br>wechselt<br>hat gewechselt<br>wechselte<br><br>Im Herbst lasse ich die Reifen wechseln.<br><br>міняти<br><br>Восени я міняю шини.
Konto;das<br><br>Konten<br><br>Ich eröffne ein Konto.<br>Ich schließe ein Konto.<br><br>рахунок<br><br>Я відкриваю рахунок.<br>Я закриваю рахунок.
Bank;die<br><br>Banken<br><br>Ich gehe zur Bank.<br>Die Bank berät die Kunden.<br><br>банк<br><br>Я йду до банку.<br>Банк консультує клієнтів.
Geldautomat;der<br><br>Geldautomaten<br><br>Ich suche einen Geldautomaten.<br>Der Geldautomat ist defekt.<br><br>банкомат<br><br>Я шукаю банкомат.<br>Банкомат несправний.
Geheimzahl;die<br><br>Geheimzahlen<br><br>Vergiss deine Geheimzahl nicht.<br>Die Geheimzahl ist geheim.<br><br>пін-код<br><br>Не забудь свій пін-код.<br>Пін-код є таємним.
Kreditkarte;die<br><br>Kreditkarten<br><br>Ich bezahle mit der Kreditkarte.<br>Er beantragt eine Kreditkarte.<br><br>кредитна карта<br><br>Я плачу кредитною карткою.<br>Він замовляє кредитну карту.
Ausweis;der<br><br>Ausweise<br><br>Zeigen Sie bitte Ihren Ausweis.<br>Der Ausweis ist abgelaufen.<br><br>посвідчення<br><br>Покажіть, будь ласка, посвідчення.<br>Посвідчення протерміноване.
Versicherung;die<br><br>Versicherungen<br><br>Ich brauche eine Versicherung.<br>Die Versicherung zahlt den Schaden.<br><br>страхування<br><br>Мені потрібне страхування.<br>Страхування оплачує збитки.
Spende;die<br><br>Spenden<br><br>Ich gebe eine Spende.<br>Die Organisation sammelt Spenden.<br><br>пожертва<br><br>Я роблю пожертву.<br>Організація збирає пожертви.
Parkschein;der<br><br>Parkscheine<br><br>Er kauft einen Parkschein.<br>Der Parkschein ist gültig.<br><br>паркувальний талон<br><br>Він купує паркувальний талон.<br>Талон дійсний.
Strafzettel;der<br><br>Strafzettel<br><br>Er bekommt einen Strafzettel.<br>Der Strafzettel kostet 30 Euro.<br><br>штрафний квиток<br><br>Він отримує штрафний квиток.<br>Квиток коштує 30 євро.
Essen;das<br><br>Essen<br><br>Das Essen schmeckt gut.<br>Ich bezahle das Essen.<br><br>їжа<br><br>Їжа смакує добре.<br>Я оплачую їжу.
Reifen;der<br><br>Reifen<br><br>Wir wechseln die Reifen.<br>Der Reifen ist alt.<br><br>шина<br><br>Ми міняємо шини.<br>Шина стара.
teuer;billig<br><br>Das Konto ist teuer.<br><br>дорогий / дешевий<br><br>Рахунок дорогий.
freundlich;unfreundlich<br><br>Der Bankberater ist freundlich.<br><br>дружній / недружній<br><br>Консультант дружній.
kompliziert;einfach<br><br>Das Formular ist kompliziert.<br><br>складний / простий<br><br>Форма складна.
kostenlos;kostenpflichtig<br><br>Die Bargeldabhebung ist kostenlos.<br><br>безкоштовний / платний<br><br>Зняття готівки безкоштовне.
leer;voll<br><br>Mein Konto ist fast leer.<br><br>порожній / повний<br><br>Мій рахунок майже порожній.
laut;leise<br><br>Der Automat piept laut.<br><br>гучний / тихий<br><br>Банкомат голосно пищить.
bekannt;unbekannt<br><br>Die Firma ist mir unbekannt.<br><br>відомий / невідомий<br><br>Фірма мені невідома.
ob;Weißt du, ob die Bank geöffnet ist?<br><br>чи<br><br>Чи знаєш, чи банк відкритий?
wann;Kannst du mir sagen, wann der Zug abfährt?<br><br>коли<br><br>Чи можеш сказати, коли відправляється поїзд?
warum;Ich frage mich, warum der Automat nicht funktioniert.<br><br>чому<br><br>Я питаю себе, чому банкомат не працює.
wo;Können Sie mir sagen, wo der Geldautomat steht?<br><br>де<br><br>Чи можете ви сказати, де стоїть банкомат?
einen Kredit aufnehmen;Ich möchte bald einen Kredit aufnehmen.<br><br>брати кредит<br><br>Я хочу скоро взяти кредит.
Geld überweisen;Ich muss die Miete auf dein Konto überweisen.<br><br>переказувати гроші<br><br>Я маю переказати оренду на твій рахунок.
Geld spenden;Sie spendet jeden Monat Geld für die Kinderhilfe.<br><br>жертвувати гроші<br><br>Вона щомісяця жертвує гроші на допомогу дітям.
Fragen stellen;Der Kunde stellt viele Fragen zur Kreditkarte.<br><br>ставити запитання<br><br>Клієнт ставить багато запитань про кредитну картку.
einen Antrag stellen;Frau Sicinski stellt einen Antrag auf ein Girokonto.<br><br>подавати заяву<br><br>Пані Сіцинська подає заяву на поточний рахунок.
eine Zahlung leisten;Er leistet die erste Zahlung in bar.<br><br>здійснювати платіж<br><br>Він здійснює перший платіж готівкою.
eine Rate zahlen;Wir zahlen die Rate immer am Ersten.<br><br>платити внесок<br><br>Ми сплачуємо внесок завжди першого числа.
einen Termin vereinbaren;Bitte vereinbaren Sie einen Termin mit dem Berater.<br><br>домовлятися про зустріч<br><br>Будь ласка, домовтеся про зустріч з консультантом.
aufmachen;macht auf<br>hat aufgemacht<br>machte auf<br><br>Der Schalter macht um neun Uhr auf.<br><br>відчиняти<br><br>Віконце відчиняється о дев'ятій.
vergleichen;A<br><br>vergleicht<br>hat verglichen<br>verglich<br><br>Vergleichen Sie bitte die Angebote.<br><br>порівнювати<br><br>Порівняйте будь ласка пропозиції.
überweisen;A+D<br><br>überweist<br>hat überwiesen<br>überwies<br><br>Die Firma überweist ihm den Lohn auf sein Konto.<br><br>переказувати<br><br>Компанія переказує йому зарплату на його рахунок.
bestellen;A<br><br>bestellt<br>hat bestellt<br>bestellte<br><br>Er bestellt eine Kreditkarte.<br><br>замовляти<br><br>Він замовляє кредитну карту.
vergessen;A<br><br>vergisst<br>hat vergessen<br>vergaß<br><br>Ich habe meine Geheimzahl vergessen.<br><br>забувати<br><br>Я забув свій пін-код.
zeigen;A+D<br><br>zeigt<br>hat gezeigt<br>zeigte<br><br>Können Sie mir zeigen wie der Automat funktioniert?<br><br>показувати<br><br>Чи можете показати мені як працює банкомат?
erklären;A+D<br><br>erklärt<br>hat erklärt<br>erklärte<br><br>Der Berater erklärt dem Kunden die Gebühren.<br><br>пояснювати<br><br>Консультант пояснює клієнту збори.
denken an;an + A<br><br>denkt<br>hat gedacht<br>dachte<br><br>Denk an deine PIN.<br><br>думати про<br><br>Думай про свій PIN.<br><br>denken - думати
Kontoauszug;der<br><br>Kontoauszüge<br><br>Ich drucke den Kontoauszug aus.<br>Der Kontoauszug zeigt alle Bewegungen.<br><br>виписка з рахунку<br><br>Я друкую виписку з рахунку.<br>Виписка показує всі операції.
Girokonto;das<br><br>Girokonten<br><br>Ein Girokonto kostet hier nichts.<br>Ich führe mein Girokonto online.<br><br>поточний рахунок<br><br>Поточний рахунок тут безкоштовний.<br>Я веду свій рахунок онлайн.
Rate;die<br><br>Raten<br><br>Die Rate ist fällig.<br>Wir zahlen die Rate monatlich.<br><br>внесок<br><br>Внесок підлягає оплаті.<br>Ми сплачуємо внесок щомісяця.
Kredit;der<br><br>Kredite<br><br>Ich nehme einen Kredit auf.<br>Der Kredit hat niedrige Zinsen.<br><br>кредит<br><br>Я беру кредит.<br>Кредит має низькі відсотки.
Geldbörse;die<br><br>Geldbörsen<br><br>Die Geldbörse ist verloren.<br>Ich habe wenig Bargeld in der Geldbörse.<br><br>гаманець<br><br>Гаманець загублено.<br>Я маю мало готівки в гаманці.
Überfall;der<br><br>Überfälle<br><br>Der Überfall passierte nachts.<br>Die Polizei untersucht den Überfall.<br><br>напад<br><br>Напад стався вночі.<br>Поліція розслідує напад.
Spendendose;die<br><br>Spendendosen<br><br>Die Spendendose steht an der Kasse.<br>Sie wirft Münzen in die Spendendose.<br><br>скринька для пожертв<br><br>Скринька для пожертв стоїть на касі.<br>Вона кидає монети в скриньку.
Taschengeld;das<br><br>Taschengelder<br><br>Die Kinder bekommen Taschengeld.<br>Ich spare mein Taschengeld.<br><br>кишенькові гроші<br><br>Діти отримують кишенькові гроші.<br>Я заощаджую свої кишенькові.
Ausbildung;die<br><br>Ausbildungen<br><br>Er beginnt eine Ausbildung.<br>Die Ausbildung dauert drei Jahre.<br><br>навчання<br><br>Він починає навчання.<br>Навчання триває три роки.
Heizkostenabrechnung;die<br><br>Heizkostenabrechnungen<br><br>Ich bezahle die Heizkostenabrechnung.<br>Die Heizkostenabrechnung ist hoch.<br><br>рахунок за опалення<br><br>Я оплачую рахунок за опалення.<br>Рахунок за опалення високий.
Kilometerstand;der<br><br>Kilometerstände<br><br>Bitte melden Sie den Kilometerstand.<br>Der Kilometerstand liegt bei 8000.<br><br>пробіг<br><br>Будь ласка, повідомте пробіг.<br>Пробіг становить 8000.
Schaden;der<br><br>Schäden<br><br>Ich melde den Schaden.<br>Die Versicherung deckt den Schaden.<br><br>шкода<br><br>Я повідомляю про шкоду.<br>Страхування покриває шкоду.
Pullover;der<br><br>Pullover<br><br>Sie strickt einen Pullover.<br>Der Pullover ist warm.<br><br>светр<br><br>Вона в'яже светр.<br>Светр теплий.
Elektronik;die<br><br>Elektroniken<br><br>Die Elektronik des Autos wird geprüft.<br>Elektronik kann teuer sein.<br><br>електроніка<br><br>Електроніка автомобіля перевіряється.<br>Електроніка може бути дорогою.
Fahrrad;das<br><br>Fahrräder<br><br>Er repariert das Fahrrad.<br>Das Fahrrad ist kaputt.<br><br>велосипед<br><br>Він ремонтує велосипед.<br>Велосипед зламаний.
günstig;teuer<br><br>Der Tarif ist günstig.<br><br>вигідний / дорогий<br><br>Тариф вигідний.
sauber;schmutzig<br><br>Die Jacke ist sauber.<br><br>чистий / брудний<br><br>Куртка чиста.
umständlich;einfach<br><br>Der Prozess ist umständlich.<br><br>незручний / простий<br><br>Процес незручний.
dass;Ich denke, dass er Recht hat.<br><br>що<br><br>Я думаю, що він має рацію.
wenn;Wenn es regnet, bleibe ich zu Hause.<br><br>якщо<br><br>Якщо йде дощ, я залишаюся вдома.
jetzt;Ich mache es jetzt.<br><br>зараз<br><br>Я роблю це зараз.
dann;Dann musst du warten.<br><br>тоді<br><br>Тоді ти повинен чекати.
schon;Ich habe schon bezahlt.<br><br>вже<br><br>Я вже заплатив.
noch;Hast du noch Zeit?<br><br>ще<br><br>У тебе ще є час?
einen Kredit beantragen;Ich möchte morgen einen Kredit beantragen.<br><br>подавати заявку на кредит<br><br>Я хочу завтра подати заявку на кредит.
einen Vertrag unterschreiben;Bitte lesen Sie, bevor Sie den Vertrag unterschreiben.<br><br>підписати договір<br><br>Будь ласка, прочитайте, перш ніж підписати договір.
einen Termin ausmachen;Rufen Sie an, um einen Termin auszumachen.<br><br>домовитися про зустріч<br><br>Зателефонуйте, щоб домовитися про зустріч.
eine Überweisung tätigen;Ich kann die Überweisung auch online tätigen.<br><br>здійснити переказ<br><br>Я можу здійснити переказ онлайн.
einen Antrag ausfüllen;Könnten Sie mir zeigen, wie ich den Antrag ausfüllen muss?<br><br>заповнити заяву<br><br>Чи могли б ви показати, як заповнити заяву?
eine EC-Karte beantragen;Herr Marzouki möchte eine EC-Karte beantragen.<br><br>замовити картку<br><br>Пан Марзукі хоче замовити картку.
anmelden für;für + A<br><br>meldet an<br>hat angemeldet<br>meldete an<br><br>Ich melde mich für den Kurs an.<br><br>зареєструватися<br><br>Я реєструюся на курс.<br><br>melden – повідомляти
sich kümmern um;um + A<br><br>kümmert sich<br>hat sich gekümmert<br>kümmerte sich<br><br>Die Bank kümmert sich um Ihr altes Konto.<br><br>піклуватися<br><br>Банк подбає про ваш старий рахунок.
sich melden bei;bei + D<br><br>meldet sich<br>hat sich gemeldet<br>meldete sich<br><br>Melde dich bitte bei mir, wenn du Hilfe brauchst.<br><br>відгукнутися<br><br>Відгукнися, будь ласка, якщо тобі потрібна допомога.
einzahlen auf;auf + A<br><br>zahlt ein<br>hat eingezahlt<br>zahlte ein<br><br>Er zahlt das Geld auf sein Konto ein.<br><br>вносити<br><br>Він вносить гроші на свій рахунок.<br><br>zahlen – платити
einsteigen in;in + A<br><br>steigt ein<br>ist eingestiegen<br>stieg ein<br><br>Bitte steigen Sie in den Zug ein.<br><br>сісти у транспорт<br><br>Будь ласка, сідайте в поїзд.<br><br>steigen – підійматися
beantragen;A<br><br>beantragt<br>hat beantragt<br>beantragte<br><br>Ich beantrage eine Kreditkarte.<br><br>подавати заявку<br><br>Я подаю заявку на кредитну картку.
beraten;A+D<br><br>berät<br>hat beraten<br>beriet<br><br>Der Berater berät die Kundin ausführlich.<br><br>консультувати<br><br>Консультант докладно консультує клієнтку.
überprüfen;A<br><br>überprüft<br>hat überprüft<br>überprüfte<br><br>Können Sie die Angaben überprüfen?<br><br>перевіряти<br><br>Чи можете ви перевірити дані?
ausstellen;A<br><br>stellt aus<br>hat ausgestellt<br>stellte aus<br><br>Die Bank stellt den Ausweis vorübergehend aus.<br><br>видавати документ<br><br>Банк тимчасово видає посвідчення.
bringen;A+D<br><br>bringt<br>hat gebracht<br>brachte<br><br>Der Kurier bringt uns die Broschüre.<br><br>приносити<br><br>Кур'єр приносить нам брошуру.
liefern;A+D<br><br>liefert<br>hat geliefert<br>lieferte<br><br>Der Händler liefert das Gerät nach Hause.<br><br>доставляти<br><br>Продавець доставляє пристрій додому.
suchen;A<br><br>sucht<br>hat gesucht<br>suchte<br><br>Ich suche einen Geldautomaten.<br><br>шукати<br><br>Я шукаю банкомат.
Kontoeröffnung;die<br><br>Kontoeröffnungen<br><br>Die Kontoeröffnung dauert nur wenige Minuten.<br>Für die Kontoeröffnung braucht man einen Ausweis.<br><br>відкриття рахунку<br><br>Відкриття рахунку триває лише кілька хвилин.<br>Для відкриття рахунку потрібен посвідчення.
Dispo;der<br><br>Dispokredite<br><br>Er beantragt einen Dispo.<br>Der Dispo ist teuer.<br><br>овердрафт<br><br>Він замовляє овердрафт.<br>Овердрафт дорогий.
Formular;das<br><br>Formulare<br><br>Bitte füllen Sie das Formular aus.<br>Das Formular ist online verfügbar.<br><br>форма<br><br>Будь ласка, заповніть форму.<br>Форма доступна онлайн.
Broschüre;die<br><br>Broschüren<br><br>Sie bekommt eine Broschüre per Post.<br>Die Broschüre erklärt alles genau.<br><br>брошура<br><br>Вона отримує брошуру поштою.<br>Брошура все докладно пояснює.
Personalausweis;der<br><br>Personalausweise<br><br>Zeigen Sie Ihren Personalausweis vor.<br>Der Personalausweis ist gültig.<br><br>паспорт громадянина<br><br>Покажіть свій паспорт.<br>Паспорт чинний.
Meldebestätigung;die<br><br>Meldebestätigungen<br><br>Die Meldebestätigung liegt vor.<br>Ohne Meldebestätigung kein Konto.<br><br>реєстраційне посвідчення<br><br>Є реєстраційне посвідчення.<br>Без нього немає рахунку.
Angestellte;der<br><br>Angestellten<br><br>Der Angestellte hilft gern.<br>Viele Angestellte arbeiten hier.<br><br>службовець<br><br>Службовець охоче допомагає.<br>Тут працює багато службовців.
Tarif;der<br><br>Tarife<br><br>Dieser Tarif ist günstig.<br>Vergleichen Sie die Tarife.<br><br>тариф<br><br>Цей тариф вигідний.<br>Порівняйте тарифи.
Betrag;der<br><br>Beträge<br><br>Der Betrag wird abgebucht.<br>Bitte prüfen Sie den Betrag.<br><br>сума<br><br>Суму буде списано.<br>Будь ласка, перевірте суму.
gültig;ungültig<br><br>Die PIN ist gültig.<br><br>чинний / недійсний<br><br>PIN чинний.
hoch;niedrig<br><br>Die Zinsen sind hoch.<br><br>високий / низький<br><br>Відсотки високі.
wichtig;unwichtig<br><br>Die Frage ist wichtig.<br><br>важливий / неважливий<br><br>Питання важливе.
offen;geschlossen<br><br>Die Bank ist noch offen.<br><br>відкрита / закрита<br><br>Банк ще відкритий.
sicher;unsicher<br><br>Online-Banking ist sicher.<br><br>безпечний / небезпечний<br><br>Онлайн-банкінг безпечний.
obwohl;Obwohl es spät ist, warte ich.<br><br>хоча<br><br>Хоча вже пізно, я чекаю.
damit;Er spart Geld, damit er reisen kann.<br><br>щоб<br><br>Він економить гроші, щоб подорожувати.
vielleicht;Vielleicht habe ich genug Bargeld.<br><br>можливо<br><br>Можливо, у мене достатньо готівки.
bitte;Bitte füllen Sie das Formular aus.<br><br>будь ласка<br><br>Будь ласка, заповніть форму.
danke;Danke für Ihre Hilfe.<br><br>дякую<br><br>Дякую за вашу допомогу.
aber;Ich will helfen, aber ich habe keine Zeit.<br><br>але<br><br>Я хочу допомогти, але не маю часу.
besorgen;A<br><br>besorgt<br>hat besorgt<br>besorgte<br><br>Kannst du mir bitte Brot besorgen?<br><br>діставати / купувати<br><br>Можеш, будь ласка, дістати мені хліб?
verschieben;A<br><br>verschiebt<br>hat verschoben<br>verschob<br><br>Ich verschiebe den Termin auf morgen.<br><br>переносити<br><br>Я переношу зустріч на завтра.
putzen;A<br><br>putzt<br>hat geputzt<br>putzte<br><br>Er putzt jeden Samstag die Fenster.<br><br>чистити<br><br>Він чистить вікна щосуботи.
eröffnen;A<br><br>eröffnet<br>hat eröffnet<br>eröffnete<br><br>Die Bank eröffnet eine neue Filiale.<br><br>відкривати<br><br>Банк відкриває нове відділення.
bitten um;um + A<br><br>bittet<br>hat gebeten<br>bat<br><br>Sie bittet ihn um Hilfe.<br><br>просити<br><br>Вона просить у нього допомоги.
kaufen;A<br><br>kauft<br>hat gekauft<br>kaufte<br><br>Ich kaufe einen neuen Laptop.<br><br>купувати<br><br>Я купую новий ноутбук.
verkaufen;A+D<br><br>verkauft<br>hat verkauft<br>verkaufte<br><br>Er verkauft ihr sein Auto.<br><br>продавати<br><br>Він продає їй своє авто.
lassen;A<br><br>lässt<br>hat gelassen<br>ließ<br><br>Ich lasse mein Fahrrad reparieren.<br><br>доручати / дозволяти<br><br>Я доручаю відремонтувати свій велосипед.
zählen;A<br><br>zählt<br>hat gezählt<br>zählte<br><br>Der Automat zählt das Geld.<br><br>рахувати<br><br>Автомат рахує гроші.
fragen;A<br><br>fragt<br>hat gefragt<br>fragte<br><br>Ich frage den Berater nach den Gebühren.<br><br>питати<br><br>Я питаю консультанта про збори.
brauchen;A<br><br>braucht<br>hat gebraucht<br>brauchte<br><br>Wir brauchen einen Termin.<br><br>потребувати<br><br>Нам потрібна зустріч.
Schalter;der<br><br>Schalter<br><br>Am Schalter bekomme ich Auskünfte.<br>Der Schalter öffnet um neun.<br><br>віконце<br><br>У віконці я отримую інформацію.<br>Віконце відкривається о дев'ятій.
Kunde;der<br><br>Kunden<br><br>Der Kunde stellt Fragen.<br>Die Bank begrüßt ihre Kunden.<br><br>клієнт<br><br>Клієнт ставить запитання.<br>Банк вітає своїх клієнтів.
Firma;die<br><br>Firmen<br><br>Er kennt diese Firma nicht.<br>Die Firma schickt eine Rechnung.<br><br>фірма<br><br>Він не знає цієї фірми.<br>Фірма надсилає рахунок.
Geld;das<br><br>Gelder<br><br>Ich spare Geld.<br>Sie überweist Geld.<br><br>гроші<br><br>Я заощаджую гроші.<br>Вона переказує гроші.
Bargeld;das<br><br>Bargelder<br><br>Ich habe kein Bargeld dabei.<br>Bargeld kann man abheben.<br><br>готівка<br><br>У мене немає готівки.<br>Готівку можна зняти.
Münze;die<br><br>Münzen<br><br>Er wirft eine Münze in die Spendendose.<br>Die Münze glänzt.<br><br>монета<br><br>Він кидає монету в скриньку для пожертв.<br>Монета блищить.
Fenster;das<br><br>Fenster<br><br>Ich putze das Fenster.<br>Das Fenster ist offen.<br><br>вікно<br><br>Я мию вікно.<br>Вікно відкрите.
Wohnung;die<br><br>Wohnungen<br><br>Wir renovieren die Wohnung.<br>Die Wohnung ist groß.<br><br>квартира<br><br>Ми ремонтуємо квартиру.<br>Квартира велика.
Auto;das<br><br>Autos<br><br>Er wäscht sein Auto.<br>Das Auto ist kaputt.<br><br>автомобіль<br><br>Він миє свій автомобіль.<br>Автомобіль зламаний.
spät;früh<br><br>Es ist schon spät.<br><br>пізно / рано<br><br>Вже пізно.
genug;zu wenig<br><br>Ich habe nicht genug Geld.<br><br>достатньо / замало<br><br>У мене недостатньо грошей.
sowieso;Den Vertrag brauche ich sowieso.<br><br>у будь-якому разі<br><br>Договір мені все одно потрібен.
doch;Komm doch mit!<br><br>же / ж<br><br>Йди ж зі мною!
bezahlen;A<br><br>bezahlt<br>hat bezahlt<br>bezahlte<br><br>Er bezahlt die Rechnung online.<br><br>платити<br><br>Він оплачує рахунок онлайн.
abheben von;von + D<br><br>hebt ab<br>hat abgehoben<br>hob ab<br><br>Sie hebt Geld von ihrem Konto ab.<br><br>знімати<br><br>Вона знімає гроші зі свого рахунку.<br><br>heben – піднімати
einzahlen bei;bei + D<br><br>zahlt ein<br>hat eingezahlt<br>zahlte ein<br><br>Wir zahlen Bargeld bei der Bank ein.<br><br>вносити<br><br>Ми вносимо готівку в банку.<br><br>zahlen – платити
berücksichtigen;A<br><br>berücksichtigt<br>hat berücksichtigt<br>berücksichtigte<br><br>Bitte berücksichtigen Sie die Gebühren.<br><br>брати до уваги<br><br>Будь ласка, врахуйте збори.
sich beschweren über;über + A<br><br>beschwert sich<br>hat sich beschwert<br>beschwerte sich<br><br>Er beschwert sich über die hohen Zinsen.<br><br>скаржитися<br><br>Він скаржиться на високі відсотки.
ausgeben für;für + A<br><br>gibt aus<br>hat ausgegeben<br>gab aus<br><br>Sie gibt viel Geld für Kleidung aus.<br><br>витрачати<br><br>Вона витрачає багато грошей на одяг.<br><br>geben – давати
erreichen;A<br><br>erreicht<br>hat erreicht<br>erreichte<br><br>Ich erreiche den Kundendienst telefonisch.<br><br>досягати / зв’язатися<br><br>Я зв’язуюся зі службою підтримки телефоном.
unterschreiben;A<br><br>unterschreibt<br>hat unterschrieben<br>unterschrieb<br><br>Er unterschreibt den Antrag.<br><br>підписувати<br><br>Він підписує заяву.
genehmigen;A<br><br>genehmigt<br>hat genehmigt<br>genehmigte<br><br>Die Bank genehmigt den Kredit.<br><br>схвалювати<br><br>Банк схвалює кредит.
bestätigen;A<br><br>bestätigt<br>hat bestätigt<br>bestätigte<br><br>Bitte bestätigen Sie den Termin schriftlich.<br><br>підтверджувати<br><br>Будь ласка, підтвердьте зустріч письмово.
Ablauf;der<br><br>Abläufe<br><br>Der Ablauf ist kompliziert.<br>Bitte erklären Sie den Ablauf.<br><br>процес<br><br>Процес складний.<br>Будь ласка, поясніть процес.
